,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total
770,Jun 24,Utilities Select Sector SPDR Fund Market BuyJun 24,$63.131 share at $63.13,$63.1,$63.13,2021,Buy,Utilities Select Sector SPDR Fund ,63.1
771,Jun 24,Tesla Market SellJun 24,$68.860.1 shares at $688.60,$68.8,$688.60,2021,Sell,Tesla ,68.8
772,Jun 24,KB Home Limit BuyJun 24,$120.903 shares at $40.30,$120.9,$40.30,2021,Buy,KB Home ,120.9
773,Jun 24,KB Home Market BuyJun 24,$80.622 shares at $40.31,$80.6,$40.31,2021,Buy,KB Home ,80.6
776,Jun 22,Hyliion Limit BuyJun 22,$111.9010 shares at $11.19,$111.9,$11.19,2021,Buy,Hyliion ,111.9
778,Jun 22,Air Transport Services Limit BuyJun 22,$91.964 shares at $22.99,$91.9,$22.99,2021,Buy,Air Transport Services ,91.9
779,Jun 22,Tapestry Market BuyJun 22,$41.671 share at $41.67,$41.6,$41.67,2021,Buy,Tapestry ,41.6
780,Jun 22,Taiwan Semiconductor Manufacturing Market BuyJun 22,$56.420.5 shares at $112.84,$56.4,$112.84,2021,Buy,Taiwan Semiconductor Manufacturing ,56.4
781,Jun 22,Canadian Solar Market BuyJun 22,$75.662 shares at $37.83,$75.6,$37.83,2021,Buy,Canadian Solar ,75.6
782,Jun 22,Coinbase Market BuyJun 22,$53.090.25 shares at $212.36,$53.0,$212.36,2021,Buy,Coinbase ,53.0
783,Jun 22,Bayer Market BuyJun 22,$30.642 shares at $15.32,$30.6,$15.32,2021,Buy,Bayer ,30.6
784,Jun 22,Coinbase Market BuyJun 22,$53.730.25 shares at $214.92,$53.7,$214.92,2021,Buy,Coinbase ,53.7
785,Jun 21,Bitcoin Market BuyJun 21,"$323.480.01001094 Bitcoin at $32,312.02",$323.4,"$32,312.02",2021,Buy,Bitcoin ,323.4
786,Jun 21,Ballard Power Systems Limit BuyJun 21,$82.485 shares at $16.50,$82.4,$16.50,2021,Buy,Ballard Power Systems ,82.4
787,Jun 21,Desktop Metal Market BuyJun 21,$60.635 shares at $12.13,$60.6,$12.13,2021,Buy,Desktop Metal ,60.6
788,Jun 21,Etsy Market BuyJun 21,$82.930.5 shares at $165.86,$82.9,$165.86,2021,Buy,Etsy ,82.9
789,Jun 21,Taiwan Semiconductor Manufacturing Market BuyJun 21,$56.730.5 shares at $113.46,$56.7,$113.46,2021,Buy,Taiwan Semiconductor Manufacturing ,56.7
790,Jun 21,Bayer Market BuyJun 21,$31.062 shares at $15.53,$31.0,$15.53,2021,Buy,Bayer ,31.0
791,Jun 21,Utilities Select Sector SPDR Fund Market BuyJun 21,$63.621 share at $63.62,$63.6,$63.62,2021,Buy,Utilities Select Sector SPDR Fund ,63.6
792,Jun 21,Coinbase Market BuyJun 21,$110.490.5 shares at $220.98,$110.4,$220.98,2021,Buy,Coinbase ,110.4
793,Jun 21,Eversource Market BuyJun 21,$39.680.5 shares at $79.36,$39.6,$79.36,2021,Buy,Eversource ,39.6
794,Jun 18,Eversource Market BuyJun 18,$81.431 share at $81.43,$81.4,$81.43,2021,Buy,Eversource ,81.4
795,Jun 18,American Electric Power Market BuyJun 18,$82.531 share at $82.53,$82.5,$82.53,2021,Buy,American Electric Power ,82.5
796,Jun 18,Kimberly-Clark Market BuyJun 18,$128.601 share at $128.60,$128.6,$128.60,2021,Buy,Kimberly-Clark ,128.6
797,Jun 18,RE/MAX Market BuyJun 18,$32.971 share at $32.97,$32.9,$32.97,2021,Buy,RE/MAX ,32.9
798,Jun 18,Linde Market BuyJun 18,$28.320.1 shares at $283.20,$28.3,$283.20,2021,Buy,Linde ,28.3
799,Jun 18,Cisco Systems Market BuyJun 18,$52.021 share at $52.02,$52.0,$52.02,2021,Buy,Cisco Systems ,52.0
800,Jun 18,Taiwan Semiconductor Manufacturing Limit BuyJun 18,$115.801 share at $115.80,$115.8,$115.80,2021,Buy,Taiwan Semiconductor Manufacturing ,115.8
801,Jun 18,Intel Market BuyJun 18,$110.742 shares at $55.37,$110.7,$55.37,2021,Buy,Intel ,110.7
802,Jun 18,Eastman Chemical Market BuyJun 18,$115.641 share at $115.64,$115.6,$115.64,2021,Buy,Eastman Chemical ,115.6
803,Jun 18,Qualcomm Market BuyJun 18,$268.002 shares at $134.00,$268.0,$134.00,2021,Buy,Qualcomm ,268.0
804,Jun 18,Verizon Market BuyJun 18,$111.302 shares at $55.65,$111.3,$55.65,2021,Buy,Verizon ,111.3
805,Jun 18,QuantumScape Market BuyJun 18,$106.594 shares at $26.65,$106.5,$26.65,2021,Buy,QuantumScape ,106.5
806,Jun 18,Linde Market BuyJun 18,$56.820.2 shares at $284.10,$56.8,$284.10,2021,Buy,Linde ,56.8
807,Jun 18,Tapestry Market BuyJun 18,$41.181 share at $41.18,$41.1,$41.18,2021,Buy,Tapestry ,41.1
808,Jun 18,Ralph Lauren Market BuyJun 18,$113.881 share at $113.88,$113.8,$113.88,2021,Buy,Ralph Lauren ,113.8
809,Jun 18,Roblox Market BuyJun 18,$80.971 share at $80.97,$80.9,$80.97,2021,Buy,Roblox ,80.9
810,Jun 18,Cummins Market BuyJun 18,$116.140.5 shares at $232.28,$116.1,$232.28,2021,Buy,Cummins ,116.1
811,Jun 18,Siemens Market BuyJun 18,$79.791 share at $79.79,$79.7,$79.79,2021,Buy,Siemens ,79.7
812,Jun 18,Procter & Gamble Market BuyJun 18,$132.711 share at $132.71,$132.7,$132.71,2021,Buy,Procter & Gamble ,132.7
813,Jun 18,iShares Global Clean Energy ETF Market BuyJun 18,$112.805 shares at $22.56,$112.8,$22.56,2021,Buy,iShares Global Clean Energy ETF ,112.8
814,Jun 18,Nexa Resources Market BuyJun 18,$84.0310 shares at $8.40,$84.0,$8.40,2021,Buy,Nexa Resources ,84.0
815,Jun 18,Best Buy Market BuyJun 18,$108.181 share at $108.18,$108.1,$108.18,2021,Buy,Best ,108.1
816,Jun 18,Linde Market BuyJun 18,$28.440.1 shares at $284.40,$28.4,$284.40,2021,Buy,Linde ,28.4
817,Jun 17,U.S. Xpress Limit BuyJun 17,$90.6110 shares at $9.06,$90.6,$9.06,2021,Buy,U.S. Xpress ,90.6
818,Jun 17,Cummins Market BuyJun 17,$117.560.5 shares at $235.12,$117.5,$235.12,2021,Buy,Cummins ,117.5
819,Jun 17,Cummins Limit BuyJun 17,$235.001 share at $235.00,$235.0,$235.00,2021,Buy,Cummins ,235.0
821,Jun 17,U.S. Xpress Limit BuyJun 17,$141.4515 shares at $9.43,$141.4,$9.43,2021,Buy,U.S. Xpress ,141.4
822,Jun 17,Nexa Resources Limit BuyJun 17,$58.807 shares at $8.40,$58.8,$8.40,2021,Buy,Nexa Resources ,58.8
824,Jun 16,U.S. Xpress Limit BuyJun 16,$81.088 shares at $10.14,$81.0,$10.14,2021,Buy,U.S. Xpress ,81.0
825,Jun 16,Nexa Resources Limit BuyJun 16,$45.555 shares at $9.11,$45.5,$9.11,2021,Buy,Nexa Resources ,45.5
826,Jun 15,Nexa Resources Limit BuyJun 15,$99.4510 shares at $9.95,$99.4,$9.95,2021,Buy,Nexa Resources ,99.4
830,Jun 8,Big Lots Trailing Stop SellJun 8,$70.231 share at $70.23,$70.2,$70.23,2021,Sell,Big Lots Trailing Stop ,70.2
831,Jun 8,Eversource Market BuyJun 8,$40.390.5 shares at $80.78,$40.3,$80.78,2021,Buy,Eversource ,40.3
832,Jun 8,American Electric Power Market BuyJun 8,$41.110.5 shares at $82.22,$41.1,$82.22,2021,Buy,American Electric Power ,41.1
833,Jun 8,Shift Technologies Stop Loss SellJun 8,$82.0010 shares at $8.20,$82.0,$8.20,2021,Sell,Shift Technologies Stop Loss ,82.0
835,Jun 8,Velodyne Lidar Stop Loss SellJun 8,$287.2525 shares at $11.49,$287.2,$11.49,2021,Sell,Velodyne Lidar Stop Loss ,287.2
836,Jun 8,Coinbase Market BuyJun 8,$56.450.25 shares at $225.80,$56.4,$225.80,2021,Buy,Coinbase ,56.4
838,Jun 7,Merck Market BuyJun 7,$72.881 share at $72.88,$72.8,$72.88,2021,Buy,Merck ,72.8
839,Jun 7,Air Products & Chemicals Market BuyJun 7,$29.970.1 shares at $299.70,$29.9,$299.70,2021,Buy,Air Products & Chemicals ,29.9
840,Jun 7,Linde Market BuyJun 7,$29.130.1 shares at $291.30,$29.1,$291.30,2021,Buy,Linde ,29.1
841,Jun 7,Hyliion Stop Loss SellJun 7,$293.7525 shares at $11.75,$293.7,$11.75,2021,Sell,Hyliion Stop Loss ,293.7
842,Jun 7,Merck Market BuyJun 7,$73.141 share at $73.14,$73.1,$73.14,2021,Buy,Merck ,73.1
843,Jun 3,Toyota Stop Loss SellJun 3,$176.791 share at $176.79,$176.7,$176.79,2021,Sell,Toyota Stop Loss ,176.7
846,Jun 3,Sunrun Market BuyJun 3,$41.271 share at $41.27,$41.2,$41.27,2021,Buy,Sunrun ,41.2
848,Jun 3,Sunrun Market BuyJun 3,$41.481 share at $41.48,$41.4,$41.48,2021,Buy,Sunrun ,41.4
849,Jun 3,Tesla Limit BuyJun 3,$572.411 share at $572.41,$572.4,$572.41,2021,Buy,Tesla ,572.4
850,Jun 3,Tesla Market BuyJun 3,$57.670.1 shares at $576.70,$57.6,$576.70,2021,Buy,Tesla ,57.6
851,Jun 3,ARK Innovation ETF Market BuyJun 3,$53.980.5 shares at $107.96,$53.9,$107.96,2021,Buy,ARK Innovation ETF ,53.9
852,Jun 3,Kimberly-Clark Limit BuyJun 3,$128.891 share at $128.89,$128.8,$128.89,2021,Buy,Kimberly-Clark ,128.8
853,Jun 3,Canadian Solar Market BuyJun 3,$38.571 share at $38.57,$38.5,$38.57,2021,Buy,Canadian Solar ,38.5
854,Jun 3,Cisco Systems Market SellJun 3,$53.231 share at $53.23,$53.2,$53.23,2021,Sell,Cisco Systems ,53.2
855,Jun 3,Velodyne Lidar Limit BuyJun 3,$195.0020 shares at $9.75,$195.0,$9.75,2021,Buy,Velodyne Lidar ,195.0
856,Jun 3,Fox (Class B) Market BuyJun 3,$104.753 shares at $34.92,$104.7,$34.92,2021,Buy,Fox (Class B) ,104.7
857,Jun 3,Best Buy Market BuyJun 3,$115.511 share at $115.51,$115.5,$115.51,2021,Buy,Best ,115.5
858,Jun 3,Etsy Market BuyJun 3,$42.200.25 shares at $168.80,$42.2,$168.80,2021,Buy,Etsy ,42.2
861,Jun 3,Desktop Metal Limit BuyJun 3,$68.755 shares at $13.75,$68.7,$13.75,2021,Buy,Desktop Metal ,68.7
863,Jun 3,Ballard Power Systems Limit BuyJun 3,$168.0010 shares at $16.80,$168.0,$16.80,2021,Buy,Ballard Power Systems ,168.0
864,Jun 2,Gores Holdings VI Stop Loss SellJun 2,$363.7426 shares at $13.99,$363.7,$13.99,2021,Sell,Gores Holdings VI Stop Loss ,363.7
865,Jun 2,Poshmark Stop Loss SellJun 2,$142.203 shares at $47.40,$142.2,$47.40,2021,Sell,Poshmark Stop Loss ,142.2
866,Jun 2,Desktop Metal Limit BuyJun 2,$65.005 shares at $13.00,$65.0,$13.00,2021,Buy,Desktop Metal ,65.0
867,Jun 2,Desktop Metal Stop Loss SellJun 2,$71.255 shares at $14.25,$71.2,$14.25,2021,Sell,Desktop Metal Stop Loss ,71.2
869,Jun 2,Honda Stop Loss SellJun 2,$31.001 share at $31.00,$31.0,$31.00,2021,Sell,Honda Stop Loss ,31.0
870,Jun 2,Sony Stop Loss SellJun 2,$96.581 share at $96.58,$96.5,$96.58,2021,Sell,Sony Stop Loss ,96.5
871,Jun 2,Roblox Stop Loss SellJun 2,$98.001 share at $98.00,$98.0,$98.00,2021,Sell,Roblox Stop Loss ,98.0
872,Jun 2,Tesla Market BuyJun 2,$60.130.1 shares at $601.30,$60.1,$601.30,2021,Buy,Tesla ,60.1
876,Jun 2,Amazon Market SellJun 2,"$32.340.01 shares at $3,234.00",$32.3,"$3,234.00",2021,Sell,Amazon ,32.3
878,Jun 2,Airbnb Stop Loss SellJun 2,$295.702 shares at $147.85,$295.7,$147.85,2021,Sell,Airbnb Stop Loss ,295.7
883,Jun 2,Tapestry Limit BuyJun 2,$129.003 shares at $43.00,$129.0,$43.00,2021,Buy,Tapestry ,129.0
884,Jun 2,U.S. Xpress Limit BuyJun 2,$199.0717 shares at $11.71,$199.0,$11.71,2021,Buy,U.S. Xpress ,199.0
885,Jun 2,Ralph Lauren Limit BuyJun 2,$120.001 share at $120.00,$120.0,$120.00,2021,Buy,Ralph Lauren ,120.0
888,Jun 2,Etsy Stop Loss SellJun 2,$166.011 share at $166.01,$166.0,$166.01,2021,Sell,Etsy Stop Loss ,166.0
889,Jun 2,Nexa Resources Limit BuyJun 2,$198.0018 shares at $11.00,$198.0,$11.00,2021,Buy,Nexa Resources ,198.0
892,Jun 2,Ralph Lauren Stop Loss SellJun 2,$122.961 share at $122.96,$122.9,$122.96,2021,Sell,Ralph Lauren Stop Loss ,122.9
893,Jun 2,AMD Stop Loss SellJun 2,$80.001 share at $80.00,$80.0,$80.00,2021,Sell,AMD Stop Loss ,80.0
894,Jun 2,Taiwan Semiconductor Manufacturing Stop Loss SellJun 2,$231.882 shares at $115.94,$231.8,$115.94,2021,Sell,Taiwan Semiconductor Manufacturing Stop Loss ,231.8
895,Jun 2,Tanger Factory Outlet Centers Stop Loss SellJun 2,$182.5010 shares at $18.25,$182.5,$18.25,2021,Sell,Tanger Factory Outlet Centers Stop Loss ,182.5
898,Jun 2,Qualcomm Limit SellJun 2,$133.261 share at $133.26,$133.2,$133.26,2021,Sell,Qualcomm ,133.2
899,Jun 2,Porsche Stop Loss SellJun 2,$11.291 share at $11.29,$11.2,$11.29,2021,Sell,Porsche Stop Loss ,11.2
900,Jun 1,NextEra Energy Market BuyJun 1,$68.811 share at $68.81,$68.8,$68.81,2021,Buy,NextEra Energy ,68.8
901,Jun 1,NVIDIA Market SellJun 1,$130.840.2 shares at $654.20,$130.8,$654.20,2021,Sell,NVIDIA ,130.8
902,Jun 1,Velodyne Lidar Limit BuyJun 1,$76.808 shares at $9.60,$76.8,$9.60,2021,Buy,Velodyne Lidar ,76.8
903,Jun 1,Medallia Limit BuyJun 1,$101.004 shares at $25.25,$101.0,$25.25,2021,Buy,Medallia ,101.0
906,Jun 1,Ballard Power Systems Stop Loss SellJun 1,$544.0032 shares at $17.00,$544.0,$17.00,2021,Sell,Ballard Power Systems Stop Loss ,544.0
911,Jun 1,GoodRx Stop Loss SellJun 1,$35.001 share at $35.00,$35.0,$35.00,2021,Sell,GoodRx Stop Loss ,35.0
913,May 28,Clean Energy Fuels Limit BuyMay 28,$78.0010 shares at $7.80,$78.0,$7.80,2021,Buy,Clean Energy Fuels ,78.0
914,May 28,Big Lots Market BuyMay 28,$121.162 shares at $60.58,$121.1,$60.58,2021,Buy,Big Lots ,121.1
916,May 27,Pubmatic Stop Loss SellMay 27,$93.003 shares at $31.00,$93.0,$31.00,2021,Sell,Pubmatic Stop Loss ,93.0
919,May 27,RE/MAX Market BuyMay 27,$35.151 share at $35.15,$35.1,$35.15,2021,Buy,RE/MAX ,35.1
920,May 27,Dollar Tree Market BuyMay 27,$100.321 share at $100.32,$100.3,$100.32,2021,Buy,Dollar Tree ,100.3
921,May 27,PowerShares QQQ Limit SellMay 27,$667.762 shares at $333.88,$667.7,$333.88,2021,Sell,PowerShares QQQ ,667.7
922,May 27,Deposit from Checking (non-interest)May 27,"$5,000.00",,,2021,Deposit,N/A,
923,May 26,Kimberly-Clark Market BuyMay 26,$131.031 share at $131.03,$131.0,$131.03,2021,Buy,Kimberly-Clark ,131.0
924,May 26,PowerShares QQQ Market BuyMay 26,$667.202 shares at $333.60,$667.2,$333.60,2021,Buy,PowerShares QQQ ,667.2
925,May 25,Honda Market BuyMay 25,$30.371 share at $30.37,$30.3,$30.37,2021,Buy,Honda ,30.3
926,May 25,Porsche Market BuyMay 25,$10.611 share at $10.61,$10.6,$10.61,2021,Buy,Porsche ,10.6
927,May 25,ARK Innovation ETF Market BuyMay 25,$54.730.5 shares at $109.46,$54.7,$109.46,2021,Buy,ARK Innovation ETF ,54.7
928,May 25,iShares Russell 2000 ETF Market BuyMay 25,$22.190.1 shares at $221.90,$22.1,$221.90,2021,Buy,iShares Russell 2000 ETF ,22.1
929,May 25,PowerShares QQQ Market BuyMay 25,$33.270.1 shares at $332.70,$33.2,$332.70,2021,Buy,PowerShares QQQ ,33.2
930,May 25,SPDR Dow Jones Industrial Average ETF Market BuyMay 25,$34.400.1 shares at $344.00,$34.4,$344.00,2021,Buy,SPDR Dow Jones Industrial Average ETF ,34.4
931,May 25,SPDR S&P 500 ETF Market BuyMay 25,$41.900.1 shares at $419.00,$41.9,$419.00,2021,Buy,SPDR S&P 500 ETF ,41.9
932,May 24,Ralph Lauren Limit BuyMay 24,$119.501 share at $119.50,$119.5,$119.50,2021,Buy,Ralph Lauren ,119.5
933,May 24,QuantumScape Limit BuyMay 24,$25.001 share at $25.00,$25.0,$25.00,2021,Buy,QuantumScape ,25.0
934,May 24,Clean Energy Fuels Limit BuyMay 24,$61.488 shares at $7.69,$61.4,$7.69,2021,Buy,Clean Energy Fuels ,61.4
935,May 24,Shift Technologies Limit BuyMay 24,$59.409 shares at $6.60,$59.4,$6.60,2021,Buy,Shift Technologies ,59.4
936,May 24,Shift Technologies Market BuyMay 24,$6.591 share at $6.59,$6.5,$6.59,2021,Buy,Shift Technologies ,6.5
938,May 19,Cisco Systems Market BuyMay 19,$49.221 share at $49.22,$49.2,$49.22,2021,Buy,Cisco Systems ,49.2
939,May 19,Coinbase Market BuyMay 19,$53.880.25 shares at $215.52,$53.8,$215.52,2021,Buy,Coinbase ,53.8
941,May 19,Tesla Market BuyMay 19,$54.770.1 shares at $547.70,$54.7,$547.70,2021,Buy,Tesla ,54.7
942,May 18,Coinbase Market BuyMay 18,$239.391 share at $239.39,$239.3,$239.39,2021,Buy,Coinbase ,239.3
944,May 17,Pubmatic Market BuyMay 17,$91.153 shares at $30.38,$91.1,$30.38,2021,Buy,Pubmatic ,91.1
945,May 17,Poshmark Limit BuyMay 17,$34.121 share at $34.12,$34.1,$34.12,2021,Buy,Poshmark ,34.1
946,May 17,Poshmark Market BuyMay 17,$34.411 share at $34.41,$34.4,$34.41,2021,Buy,Poshmark ,34.4
947,May 17,Skyworks Market BuyMay 17,$121.320.75 shares at $161.76,$121.3,$161.76,2021,Buy,Skyworks ,121.3
948,May 17,Tesla Market BuyMay 17,$57.910.1 shares at $579.10,$57.9,$579.10,2021,Buy,Tesla ,57.9
949,May 17,Coinbase Market BuyMay 17,$59.780.25 shares at $239.12,$59.7,$239.12,2021,Buy,Coinbase ,59.7
950,May 17,Taiwan Semiconductor Manufacturing Market BuyMay 17,$81.370.75 shares at $108.49,$81.3,$108.49,2021,Buy,Taiwan Semiconductor Manufacturing ,81.3
951,May 17,Airbnb Market BuyMay 17,$133.211 share at $133.21,$133.2,$133.21,2021,Buy,Airbnb ,133.2
952,May 14,NIO Market BuyMay 14,$33.391 share at $33.39,$33.3,$33.39,2021,Buy,NIO ,33.3
953,May 14,Poshmark Market BuyMay 14,$35.941 share at $35.94,$35.9,$35.94,2021,Buy,Poshmark ,35.9
954,May 14,Tanger Factory Outlet Centers Market BuyMay 14,$163.4610 shares at $16.35,$163.4,$16.35,2021,Buy,Tanger Factory Outlet Centers ,163.4
955,May 13,Gores Holdings VI Market BuyMay 13,$21.092 shares at $10.55,$21.0,$10.55,2021,Buy,Gores Holdings VI ,21.0
956,May 13,Velodyne Lidar Market BuyMay 13,$18.982 shares at $9.49,$18.9,$9.49,2021,Buy,Velodyne Lidar ,18.9
957,May 13,Ballard Power Systems Market BuyMay 13,$27.602 shares at $13.80,$27.6,$13.80,2021,Buy,Ballard Power Systems ,27.6
958,May 13,NVIDIA Market BuyMay 13,$54.280.1 shares at $542.80,$54.2,$542.80,2021,Buy,NVIDIA ,54.2
959,May 13,Enphase Energy Market BuyMay 13,$57.030.5 shares at $114.06,$57.0,$114.06,2021,Buy,Enphase Energy ,57.0
960,May 13,Etsy Market BuyMay 13,$39.160.25 shares at $156.64,$39.1,$156.64,2021,Buy,Etsy ,39.1
961,May 13,Airbnb Market BuyMay 13,$67.130.5 shares at $134.26,$67.1,$134.26,2021,Buy,Airbnb ,67.1
962,May 13,Velodyne Lidar Market BuyMay 13,$28.673 shares at $9.56,$28.6,$9.56,2021,Buy,Velodyne Lidar ,28.6
963,May 13,Tesla Market BuyMay 13,$57.170.1 shares at $571.70,$57.1,$571.70,2021,Buy,Tesla ,57.1
964,May 12,Tesla Market BuyMay 12,$58.700.1 shares at $587.00,$58.7,$587.00,2021,Buy,Tesla ,58.7
965,May 12,Qualcomm Market BuyMay 12,$31.020.25 shares at $124.08,$31.0,$124.08,2021,Buy,Qualcomm ,31.0
966,May 12,Amazon Market BuyMay 12,"$31.430.01 shares at $3,143.00",$31.4,"$3,143.00",2021,Buy,Amazon ,31.4
967,May 12,Autodesk Market BuyMay 12,$53.870.2 shares at $269.35,$53.8,$269.35,2021,Buy,Autodesk ,53.8
968,May 12,NVIDIA Market BuyMay 12,$55.000.1 shares at $550.00,$55.0,$550.00,2021,Buy,NVIDIA ,55.0
969,May 12,Ballard Power Systems Market BuyMay 12,$43.083 shares at $14.36,$43.0,$14.36,2021,Buy,Ballard Power Systems ,43.0
970,May 12,Bloom Energy Market BuyMay 12,$96.945 shares at $19.39,$96.9,$19.39,2021,Buy,Bloom Energy ,96.9
971,May 12,Sony Market BuyMay 12,$93.411 share at $93.41,$93.4,$93.41,2021,Buy,Sony ,93.4
972,May 12,Hyliion Market BuyMay 12,$82.5910 shares at $8.26,$82.5,$8.26,2021,Buy,Hyliion ,82.5
973,May 12,Gores Holdings VI Market BuyMay 12,$98.609 shares at $10.96,$98.6,$10.96,2021,Buy,Gores Holdings VI ,98.6
974,May 12,NextEra Energy Market BuyMay 12,$144.942 shares at $72.47,$144.9,$72.47,2021,Buy,NextEra Energy ,144.9
975,May 12,Microsoft Market BuyMay 12,$239.551 share at $239.55,$239.5,$239.55,2021,Buy,Microsoft ,239.5
976,May 12,Apple Market BuyMay 12,$122.401 share at $122.40,$122.4,$122.40,2021,Buy,Apple ,122.4
977,May 12,Taiwan Semiconductor Manufacturing Market BuyMay 12,$27.180.25 shares at $108.72,$27.1,$108.72,2021,Buy,Taiwan Semiconductor Manufacturing ,27.1
978,May 12,Skyworks Market BuyMay 12,$40.340.25 shares at $161.36,$40.3,$161.36,2021,Buy,Skyworks ,40.3
979,May 12,Skyworks Market BuyMay 12,$40.330.25 shares at $161.32,$40.3,$161.32,2021,Buy,Skyworks ,40.3
980,May 12,Tesla Market BuyMay 12,$120.270.2 shares at $601.35,$120.2,$601.35,2021,Buy,Tesla ,120.2
981,May 12,Velodyne Lidar Market BuyMay 12,$53.595 shares at $10.72,$53.5,$10.72,2021,Buy,Velodyne Lidar ,53.5
982,May 12,AMD Market BuyMay 12,$74.741 share at $74.74,$74.7,$74.74,2021,Buy,AMD ,74.7
983,May 12,Bloom Energy Market BuyMay 12,$98.225 shares at $19.64,$98.2,$19.64,2021,Buy,Bloom Energy ,98.2
984,May 12,Intel Market BuyMay 12,$54.181 share at $54.18,$54.1,$54.18,2021,Buy,Intel ,54.1
985,May 12,NextEra Energy Market BuyMay 12,$72.871 share at $72.87,$72.8,$72.87,2021,Buy,NextEra Energy ,72.8
986,May 12,Intel Market BuyMay 12,$54.151 share at $54.15,$54.1,$54.15,2021,Buy,Intel ,54.1
987,May 12,Bloom Energy Market BuyMay 12,$100.195 shares at $20.04,$100.1,$20.04,2021,Buy,Bloom Energy ,100.1
988,May 12,QuantumScape Market BuyMay 12,$27.911 share at $27.91,$27.9,$27.91,2021,Buy,QuantumScape ,27.9
989,May 12,Taiwan Semiconductor Manufacturing Market BuyMay 12,$55.000.5 shares at $110.00,$55.0,$110.00,2021,Buy,Taiwan Semiconductor Manufacturing ,55.0
990,May 12,Qualcomm Market BuyMay 12,$62.750.5 shares at $125.50,$62.7,$125.50,2021,Buy,Qualcomm ,62.7
991,May 11,Toyota Market BuyMay 11,$151.611 share at $151.61,$151.6,$151.61,2021,Buy,Toyota ,151.6
992,May 11,Enphase Energy Market BuyMay 11,$11.790.1 shares at $117.90,$11.7,$117.90,2021,Buy,Enphase Energy ,11.7
993,May 11,Clean Energy Fuels Market BuyMay 11,$8.251 share at $8.25,$8.2,$8.25,2021,Buy,Clean Energy Fuels ,8.2
994,May 11,Skyworks Market BuyMay 11,$40.360.25 shares at $161.44,$40.3,$161.44,2021,Buy,Skyworks ,40.3
995,May 11,Ballard Power Systems Market BuyMay 11,$13.381 share at $13.38,$13.3,$13.38,2021,Buy,Ballard Power Systems ,13.3
996,May 11,Gores Holdings VI Market BuyMay 11,$10.931 share at $10.93,$10.9,$10.93,2021,Buy,Gores Holdings VI ,10.9
997,May 11,Tesla Market BuyMay 11,$60.580.1 shares at $605.80,$60.5,$605.80,2021,Buy,Tesla ,60.5
998,May 11,Airbnb Market BuyMay 11,$34.720.25 shares at $138.88,$34.7,$138.88,2021,Buy,Airbnb ,34.7
999,May 11,Plug Power Market BuyMay 11,$19.081 share at $19.08,$19.0,$19.08,2021,Buy,Plug Power ,19.0
1000,May 11,Velodyne Lidar Market BuyMay 11,$10.581 share at $10.58,$10.5,$10.58,2021,Buy,Velodyne Lidar ,10.5
1001,May 11,Clean Energy Fuels Market BuyMay 11,$8.021 share at $8.02,$8.0,$8.02,2021,Buy,Clean Energy Fuels ,8.0
1002,May 11,Ballard Power Systems Market BuyMay 11,$13.121 share at $13.12,$13.1,$13.12,2021,Buy,Ballard Power Systems ,13.1
1003,May 10,Plug Power Market BuyMay 10,$20.121 share at $20.12,$20.1,$20.12,2021,Buy,Plug Power ,20.1
1004,May 10,Snowflake Market BuyMay 10,$48.250.25 shares at $193.00,$48.2,$193.00,2021,Buy,Snowflake ,48.2
1005,May 10,Canadian Solar Market BuyMay 10,$37.431 share at $37.43,$37.4,$37.43,2021,Buy,Canadian Solar ,37.4
1006,May 10,GoodRx Market BuyMay 10,$31.451 share at $31.45,$31.4,$31.45,2021,Buy,GoodRx ,31.4
1007,May 10,Roblox Market BuyMay 10,$65.321 share at $65.32,$65.3,$65.32,2021,Buy,Roblox ,65.3
1008,May 10,Tesla Market BuyMay 10,$63.280.1 shares at $632.80,$63.2,$632.80,2021,Buy,Tesla ,63.2
1009,May 10,Ballard Power Systems Market BuyMay 10,$43.263 shares at $14.42,$43.2,$14.42,2021,Buy,Ballard Power Systems ,43.2
1010,May 10,Ballard Power Systems Market BuyMay 10,$14.451 share at $14.45,$14.4,$14.45,2021,Buy,Ballard Power Systems ,14.4
1011,May 10,Plug Power Market BuyMay 10,$20.811 share at $20.81,$20.8,$20.81,2021,Buy,Plug Power ,20.8
1012,May 10,Hyliion Limit BuyMay 10,$77.409 shares at $8.60,$77.4,$8.60,2021,Buy,Hyliion ,77.4
1013,May 10,Plug Power Market BuyMay 10,$20.841 share at $20.84,$20.8,$20.84,2021,Buy,Plug Power ,20.8
1014,May 10,Plug Power Market BuyMay 10,$21.071 share at $21.07,$21.0,$21.07,2021,Buy,Plug Power ,21.0
1015,May 10,Plug Power Market BuyMay 10,$21.191 share at $21.19,$21.1,$21.19,2021,Buy,Plug Power ,21.1
1016,May 10,Bloom Energy Market BuyMay 10,$104.875 shares at $20.97,$104.8,$20.97,2021,Buy,Bloom Energy ,104.8
1017,May 10,Qualcomm Market BuyMay 10,$66.090.5 shares at $132.18,$66.0,$132.18,2021,Buy,Qualcomm ,66.0
1019,May 10,Hyliion Market BuyMay 10,$8.661 share at $8.66,$8.6,$8.66,2021,Buy,Hyliion ,8.6
