,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Shares,Ticker
2590,"Jul 9, 2020","HP Enterprise Market BuyJul 9, 2020",$9.051 share at $9.05,$9.05,$9.05,2020,Buy,HP Enterprise,9.05,1.0,HPE
2589,"Jul 9, 2020","Ruth's Hospitality Market BuyJul 9, 2020",$6.921 share at $6.92,$6.92,$6.92,2020,Buy,Ruth's Hospitality,6.92,1.0,RUTH
2588,"Jul 9, 2020","US Foods Market BuyJul 9, 2020",$18.951 share at $18.95,$18.95,$18.95,2020,Buy,US Foods,18.95,1.0,USFD
2587,"Jul 9, 2020","GE Market BuyJul 9, 2020",$6.641 share at $6.64,$6.64,$6.64,2020,Buy,GE,6.64,1.0,GE
2586,"Jul 9, 2020","Chef's Warehouse Market BuyJul 9, 2020",$24.802 shares at $12.40,$24.80,$12.40,2020,Buy,Chef's Warehouse,24.8,2.0,CHEF
2585,"Jul 9, 2020","Ruth's Hospitality Market BuyJul 9, 2020",$6.911 share at $6.91,$6.91,$6.91,2020,Buy,Ruth's Hospitality,6.91,1.0,RUTH
2584,"Jul 9, 2020","JetBlue Airways Market BuyJul 9, 2020",$20.162 shares at $10.08,$20.16,$10.08,2020,Buy,JetBlue Airways,20.16,2.0,JBLU
2583,"Jul 9, 2020","Delta Air Lines Market BuyJul 9, 2020",$25.861 share at $25.86,$25.86,$25.86,2020,Buy,Delta Air Lines,25.86,1.0,DAL
2582,"Jul 9, 2020","Southwest Airlines Market BuyJul 9, 2020",$31.711 share at $31.71,$31.71,$31.71,2020,Buy,Southwest Airlines,31.71,1.0,LUV
2581,"Jul 10, 2020","JetBlue Airways Market BuyJul 10, 2020",$20.002 shares at $10.00,$20.00,$10.00,2020,Buy,JetBlue Airways,20.0,2.0,JBLU
2580,"Jul 10, 2020","Deposit from Checking (non-interest)Jul 10, 2020",300.0,,,2020,Deposit,N/A,,0.0,Idk
2579,"Jul 10, 2020","Delta Air Lines Market BuyJul 10, 2020",$25.301 share at $25.30,$25.30,$25.30,2020,Buy,Delta Air Lines,25.3,1.0,DAL
2578,"Jul 10, 2020","HP Enterprise Market BuyJul 10, 2020",$17.962 shares at $8.98,$17.96,$8.98,2020,Buy,HP Enterprise,17.96,2.0,HPE
2577,"Jul 10, 2020","Xerox Market BuyJul 10, 2020",$29.382 shares at $14.69,$29.38,$14.69,2020,Buy,Xerox,29.38,2.0,XRX
2576,"Jul 10, 2020","Blackberry Market BuyJul 10, 2020",$9.542 shares at $4.77,$9.54,$4.77,2020,Buy,Blackberry,9.54,2.0,BB
2575,"Jul 10, 2020","US Foods Market BuyJul 10, 2020",$18.511 share at $18.51,$18.51,$18.51,2020,Buy,US Foods,18.51,1.0,USFD
2574,"Jul 10, 2020","BJ's Restaurants Market BuyJul 10, 2020",$33.422 shares at $16.71,$33.42,$16.71,2020,Buy,BJ's Restaurants,33.42,2.0,BJRI
2573,"Jul 10, 2020","Ruth's Hospitality Market BuyJul 10, 2020",$13.122 shares at $6.56,$13.12,$6.56,2020,Buy,Ruth's Hospitality,13.12,2.0,RUTH
2572,"Jul 10, 2020","Herman Miller Market BuyJul 10, 2020",$41.842 shares at $20.92,$41.84,$20.92,2020,Buy,Herman Miller,41.84,2.0,MLHR
2571,"Jul 10, 2020","FLY Leasing Market BuyJul 10, 2020",$14.662 shares at $7.33,$14.66,$7.33,2020,Buy,FLY Leasing,14.66,2.0,FLY
2570,"Jul 13, 2020","Simply Good Foods Market SellJul 13, 2020",$65.863 shares at $21.95,$65.86,$21.95,2020,Sell,Simply Good Foods,65.86,3.0004555808656037,SMPL
2569,"Jul 13, 2020","Alibaba Market SellJul 13, 2020",$259.671 share at $259.67,$259.67,$259.67,2020,Sell,Alibaba,259.67,1.0,BABA
2568,"Jul 13, 2020","BJ's Restaurants Market BuyJul 13, 2020",$17.251 share at $17.25,$17.25,$17.25,2020,Buy,BJ's Restaurants,17.25,1.0,BJRI
2567,"Jul 14, 2020","PowerFleet Market BuyJul 14, 2020",$8.122 shares at $4.06,$8.12,$4.06,2020,Buy,PowerFleet,8.12,2.0,PWFL
2566,"Jul 14, 2020","BJ's Restaurants Market BuyJul 14, 2020",$33.432 shares at $16.72,$33.43,$16.72,2020,Buy,BJ's Restaurants,33.43,1.9994019138755983,BJRI
2565,"Jul 14, 2020","Ruth's Hospitality Market BuyJul 14, 2020",$19.113 shares at $6.37,$19.11,$6.37,2020,Buy,Ruth's Hospitality,19.11,3.0,RUTH
2564,"Jul 14, 2020","Tailored Brands Market BuyJul 14, 2020",$6.6010 shares at $0.66,$6.60,$0.66,2020,Buy,Tailored Brands,6.6,9.999999999999998,TLRDQ
2563,"Jul 14, 2020","BJ's Restaurants Market BuyJul 14, 2020",$16.251 share at $16.25,$16.25,$16.25,2020,Buy,BJ's Restaurants,16.25,1.0,BJRI
2562,"Jul 14, 2020","Cinemark Market BuyJul 14, 2020",$12.261 share at $12.26,$12.26,$12.26,2020,Buy,Cinemark,12.26,1.0,CNK
2561,"Jul 14, 2020","Ruth's Hospitality Market BuyJul 14, 2020",$18.533 shares at $6.18,$18.53,$6.18,2020,Buy,Ruth's Hospitality,18.53,2.9983818770226542,RUTH
2560,"Jul 15, 2020","Simply Good Foods Market SellJul 15, 2020",$22.591 share at $22.59,$22.59,$22.59,2020,Sell,Simply Good Foods,22.59,1.0,SMPL
2559,"Jul 15, 2020","US Concrete Market SellJul 15, 2020",$78.333 shares at $26.11,$78.33,$26.11,2020,Sell,US Concrete,78.33,3.0,USCR
2558,"Jul 15, 2020","Coca-Cola FEMSA Market BuyJul 15, 2020",$83.282 shares at $41.64,$83.28,$41.64,2020,Buy,Coca-Cola FEMSA,83.28,2.0,KOF
2557,"Jul 15, 2020","HCA Healthcare Market SellJul 15, 2020",$104.111 share at $104.11,$104.11,$104.11,2020,Sell,HCA Healthcare,104.11,1.0,HCA
2556,"Jul 15, 2020","Alibaba Market BuyJul 15, 2020",$248.831 share at $248.83,$248.83,$248.83,2020,Buy,Alibaba,248.83,1.0,BABA
2555,"Jul 16, 2020","US Concrete Market SellJul 16, 2020",$26.811 share at $26.81,$26.81,$26.81,2020,Sell,US Concrete,26.81,1.0,USCR
2554,"Jul 16, 2020","Coca-Cola FEMSA Market BuyJul 16, 2020",$82.182 shares at $41.09,$82.18,$41.09,2020,Buy,Coca-Cola FEMSA,82.18,2.0,KOF
2553,"Jul 17, 2020","Coca-Cola FEMSA Market BuyJul 17, 2020",$40.781 share at $40.78,$40.78,$40.78,2020,Buy,Coca-Cola FEMSA,40.78,1.0,KOF
2552,"Jul 17, 2020","Rolls-Royce Market BuyJul 17, 2020",$6.742 shares at $3.37,$6.74,$3.37,2020,Buy,Rolls-Royce,6.74,2.0,RYCEY
2551,"Jul 17, 2020","Mazda Market BuyJul 17, 2020",$3.271 share at $3.27,$3.27,$3.27,2020,Buy,Mazda,3.27,1.0,MZDAY
2550,"Jul 17, 2020","Honeywell International Market SellJul 17, 2020",$155.141 share at $155.14,$155.14,$155.14,2020,Sell,Honeywell International,155.14,1.0,HON
2549,"Jul 17, 2020","Exelon Market SellJul 17, 2020",$39.481 share at $39.48,$39.48,$39.48,2020,Sell,Exelon,39.48,1.0,EXC
2548,"Jul 20, 2020","FLY Leasing Market BuyJul 20, 2020",$58.488 shares at $7.31,$58.48,$7.31,2020,Buy,FLY Leasing,58.48,8.0,FLY
2547,"Jul 20, 2020","AES Market BuyJul 20, 2020",$30.612 shares at $15.31,$30.61,$15.31,2020,Buy,AES,30.61,1.9993468321358587,AES
2546,"Jul 20, 2020","VF Market BuyJul 20, 2020",$116.542 shares at $58.27,$116.54,$58.27,2020,Buy,VF,116.54,2.0,VFC
2545,"Jul 20, 2020","Exelon Market BuyJul 20, 2020",$38.271 share at $38.27,$38.27,$38.27,2020,Buy,Exelon,38.27,1.0,EXC
2544,"Jul 20, 2020","Deposit from Checking (non-interest)Jul 20, 2020",300.0,,,2020,Deposit,N/A,,0.0,Idk
2543,"Jul 20, 2020","Cosan Market SellJul 20, 2020",$18.251 share at $18.25,$18.25,$18.25,2020,Sell,Cosan,18.25,1.0,CZZ
2542,"Jul 20, 2020","American Airlines Market BuyJul 20, 2020",$22.862 shares at $11.43,$22.86,$11.43,2020,Buy,American Airlines,22.86,2.0,AAL
2541,"Jul 20, 2020","Lionsgate Market BuyJul 20, 2020",$15.962 shares at $7.98,$15.96,$7.98,2020,Buy,Lionsgate,15.96,2.0,LGF.A
2540,"Jul 20, 2020","Coca-Cola FEMSA Market BuyJul 20, 2020",$40.081 share at $40.08,$40.08,$40.08,2020,Buy,Coca-Cola FEMSA,40.08,1.0,KOF
2539,"Jul 20, 2020","BJ's Restaurants Market BuyJul 20, 2020",$17.801 share at $17.80,$17.80,$17.80,2020,Buy,BJ's Restaurants,17.8,1.0,BJRI
2538,"Jul 20, 2020","Chef's Warehouse Market BuyJul 20, 2020",$12.151 share at $12.15,$12.15,$12.15,2020,Buy,Chef's Warehouse,12.15,1.0,CHEF
2537,"Jul 20, 2020","GE Market BuyJul 20, 2020",$6.871 share at $6.87,$6.87,$6.87,2020,Buy,GE,6.87,1.0,GE
2536,"Jul 21, 2020","Cosan Market SellJul 21, 2020",$18.701 share at $18.70,$18.70,$18.70,2020,Sell,Cosan,18.7,1.0,CZZ
2535,"Jul 21, 2020","US Concrete Market SellJul 21, 2020",$26.851 share at $26.85,$26.85,$26.85,2020,Sell,US Concrete,26.85,1.0,USCR
2534,"Jul 21, 2020","Simply Good Foods Market SellJul 21, 2020",$23.201 share at $23.20,$23.20,$23.20,2020,Sell,Simply Good Foods,23.2,1.0,SMPL
2533,"Jul 21, 2020","HCA Healthcare Market SellJul 21, 2020",$107.941 share at $107.94,$107.94,$107.94,2020,Sell,HCA Healthcare,107.94,1.0,HCA
2531,"Jul 22, 2020","HCA Healthcare Market SellJul 22, 2020",$118.001 share at $118.00,$118.00,$118.00,2020,Sell,HCA Healthcare,118.0,1.0,HCA
2530,"Jul 22, 2020","Cosan Market SellJul 22, 2020",$19.251 share at $19.25,$19.25,$19.25,2020,Sell,Cosan,19.25,1.0,CZZ
2529,"Jul 22, 2020","FLY Leasing Market BuyJul 22, 2020",$13.782 shares at $6.89,$13.78,$6.89,2020,Buy,FLY Leasing,13.78,2.0,FLY
2528,"Jul 23, 2020","AES Market BuyJul 23, 2020",$15.741 share at $15.74,$15.74,$15.74,2020,Buy,AES,15.74,1.0,AES
2527,"Jul 23, 2020","FLY Leasing Market BuyJul 23, 2020",$13.442 shares at $6.72,$13.44,$6.72,2020,Buy,FLY Leasing,13.44,2.0,FLY
2526,"Jul 23, 2020","Swire Pacific Market BuyJul 23, 2020",$50.2010 shares at $5.02,$50.20,$5.02,2020,Buy,Swire Pacific,50.2,10.000000000000002,SWRAY
2525,"Jul 23, 2020","Microsoft Market BuyJul 23, 2020",$20.510.1 shares at $205.10,$20.51,$205.10,2020,Buy,Microsoft,20.51,0.1,MSFT
2524,"Jul 23, 2020","Apple Market BuyJul 23, 2020",$37.850.1 shares at $378.50,$37.85,$378.50,2020,Buy,Apple,37.85,0.1,AAPL
2523,"Jul 23, 2020","Microsoft Market BuyJul 23, 2020",$20.240.1 shares at $202.40,$20.24,$202.40,2020,Buy,Microsoft,20.24,0.09999999999999999,MSFT
2522,"Jul 23, 2020","Apple Market BuyJul 23, 2020",$18.480.05 shares at $369.60,$18.48,$369.60,2020,Buy,Apple,18.48,0.049999999999999996,AAPL
2521,"Jul 24, 2020","Apple Market BuyJul 24, 2020",$18.000.05 shares at $360.00,$18.00,$360.00,2020,Buy,Apple,18.0,0.05,AAPL
2520,"Jul 24, 2020","Tesla Market BuyJul 24, 2020","$13.960.01 shares at $1,396.00",$13.96,"$1,396.00",2020,Buy,Tesla,13.96,0.01,TSLA
2519,"Jul 24, 2020","Intel Market BuyJul 24, 2020",$50.151 share at $50.15,$50.15,$50.15,2020,Buy,Intel,50.15,1.0,INTC
2518,"Jul 24, 2020","Alphabet Class A Market BuyJul 24, 2020","$14.980.01 shares at $1,498.00",$14.98,"$1,498.00",2020,Buy,Alphabet Class A,14.98,0.01,GOOGL
2517,"Jul 24, 2020","Swire Pacific Market BuyJul 24, 2020",$49.7910 shares at $4.98,$49.79,$4.98,2020,Buy,Swire Pacific,49.79,9.997991967871485,SWRAY
2516,"Jul 24, 2020","Baidu Market BuyJul 24, 2020",$11.830.1 shares at $118.30,$11.83,$118.30,2020,Buy,Baidu,11.83,0.1,BIDU
2515,"Jul 24, 2020","Intel Market BuyJul 24, 2020",$50.481 share at $50.48,$50.48,$50.48,2020,Buy,Intel,50.48,1.0,INTC
2514,"Jul 24, 2020","Cinemark Market BuyJul 24, 2020",$12.221 share at $12.22,$12.22,$12.22,2020,Buy,Cinemark,12.22,1.0,CNK
2513,"Jul 24, 2020","Canon Market BuyJul 24, 2020",$19.651 share at $19.65,$19.65,$19.65,2020,Buy,Canon,19.65,1.0,CAJ
2512,"Jul 27, 2020","Simply Good Foods Market SellJul 27, 2020",$24.071 share at $24.07,$24.07,$24.07,2020,Sell,Simply Good Foods,24.07,1.0,SMPL
2511,"Jul 27, 2020","Honeywell International Market SellJul 27, 2020",$448.523 shares at $149.51,$448.52,$149.51,2020,Sell,Honeywell International,448.52,2.9999331148418165,HON
2510,"Jul 27, 2020","Intel Market BuyJul 27, 2020",$5.010.1 shares at $50.10,$5.01,$50.10,2020,Buy,Intel,5.01,0.09999999999999999,INTC
2509,"Jul 27, 2020","US Foods Market SellJul 27, 2020",$165.288 shares at $20.66,$165.28,$20.66,2020,Sell,US Foods,165.28,8.0,USFD
2508,"Jul 27, 2020","US Concrete Market SellJul 27, 2020",$27.031 share at $27.03,$27.03,$27.03,2020,Sell,US Concrete,27.03,1.0,USCR
2507,"Jul 27, 2020","International Airlines Group Market BuyJul 27, 2020",$48.6010 shares at $4.86,$48.60,$4.86,2020,Buy,International Airlines Group,48.6,10.0,ICAGY
2506,"Jul 27, 2020","AES Market BuyJul 27, 2020",$15.111 share at $15.11,$15.11,$15.11,2020,Buy,AES,15.11,1.0,AES
2505,"Jul 27, 2020","CenterPoint Energy Market BuyJul 27, 2020",$19.011 share at $19.01,$19.01,$19.01,2020,Buy,CenterPoint Energy,19.01,1.0,CNP
2504,"Jul 27, 2020","UnitedHealth Market BuyJul 27, 2020",$29.910.1 shares at $299.10,$29.91,$299.10,2020,Buy,UnitedHealth,29.91,0.09999999999999999,UNH
2503,"Jul 27, 2020","Chef's Warehouse Market BuyJul 27, 2020",$36.023 shares at $12.01,$36.02,$12.01,2020,Buy,Chef's Warehouse,36.02,2.9991673605328897,CHEF
2502,"Jul 27, 2020","Carnival Market BuyJul 27, 2020",$13.791 share at $13.79,$13.79,$13.79,2020,Buy,Carnival,13.79,1.0,CCL
2501,"Jul 27, 2020","Burberry Market BuyJul 27, 2020",$16.551 share at $16.55,$16.55,$16.55,2020,Buy,Burberry,16.55,1.0,BURBY
2500,"Jul 27, 2020","Baidu Market BuyJul 27, 2020",$5.790.05 shares at $115.80,$5.79,$115.80,2020,Buy,Baidu,5.79,0.05,BIDU
2499,"Jul 27, 2020","Johnson & Johnson Market BuyJul 27, 2020",$14.780.1 shares at $147.80,$14.78,$147.80,2020,Buy,Johnson & Johnson,14.78,0.09999999999999999,JNJ
2498,"Jul 27, 2020","Southern Market BuyJul 27, 2020",$5.430.1 shares at $54.30,$5.43,$54.30,2020,Buy,Southern,5.43,0.1,SO
2497,"Jul 27, 2020","Waste Management Market BuyJul 27, 2020",$10.700.1 shares at $107.00,$10.70,$107.00,2020,Buy,Waste Management,10.7,0.09999999999999999,WM
2496,"Jul 27, 2020","Sempra Market BuyJul 27, 2020",$12.360.1 shares at $123.60,$12.36,$123.60,2020,Buy,Sempra,12.36,0.1,SRE
2495,"Jul 27, 2020","Ross Market BuyJul 27, 2020",$8.460.1 shares at $84.60,$8.46,$84.60,2020,Buy,Ross,8.46,0.10000000000000002,ROST
2494,"Jul 27, 2020","Disney Market BuyJul 27, 2020",$11.590.1 shares at $115.90,$11.59,$115.90,2020,Buy,Disney,11.59,0.09999999999999999,DIS
2493,"Jul 27, 2020","Alaska Air Market BuyJul 27, 2020",$3.400.1 shares at $34.00,$3.40,$34.00,2020,Buy,Alaska Air,3.4,0.09999999999999999,ALK
2492,"Jul 28, 2020","JetBlue Airways Market BuyJul 28, 2020",$10.131 share at $10.13,$10.13,$10.13,2020,Buy,JetBlue Airways,10.13,1.0,JBLU
2491,"Jul 28, 2020","Taiwan Semiconductor Manufacturing Market BuyJul 28, 2020",$7.700.1 shares at $77.00,$7.70,$77.00,2020,Buy,Taiwan Semiconductor Manufacturing,7.7,0.1,Idk
2490,"Jul 28, 2020","Biogen Market BuyJul 28, 2020",$28.300.1 shares at $283.00,$28.30,$283.00,2020,Buy,Biogen,28.3,0.1,BIIB
2489,"Jul 28, 2020","Oracle Market BuyJul 28, 2020",$5.550.1 shares at $55.50,$5.55,$55.50,2020,Buy,Oracle,5.55,0.09999999999999999,ORCL
2488,"Jul 28, 2020","Chef's Warehouse Market SellJul 28, 2020",$73.416 shares at $12.24,$73.41,$12.24,2020,Sell,Chef's Warehouse,73.41,5.997549019607843,CHEF
2487,"Jul 28, 2020","Ecolab Market BuyJul 28, 2020",$19.610.1 shares at $196.10,$19.61,$196.10,2020,Buy,Ecolab,19.61,0.1,ECL
2486,"Jul 28, 2020","US Concrete Market BuyJul 28, 2020",$25.781 share at $25.78,$25.78,$25.78,2020,Buy,US Concrete,25.78,1.0,USCR
2485,"Jul 28, 2020","Analog Devices Market BuyJul 28, 2020",$11.590.1 shares at $115.90,$11.59,$115.90,2020,Buy,Analog Devices,11.59,0.09999999999999999,ADI
2484,"Jul 28, 2020","Tailored Brands Market SellJul 28, 2020",$8.7920 shares at $0.4395,$8.79,$0.4395,2020,Sell,Tailored Brands,8.79,19.999999999999996,TLRDQ
2483,"Jul 28, 2020","BJ's Restaurants Market SellJul 28, 2020",$664.6233 shares at $20.14,$664.62,$20.14,2020,Sell,BJ's Restaurants,664.62,33.0,BJRI
2482,"Jul 29, 2020","Canon Market BuyJul 29, 2020",$17.321 share at $17.32,$17.32,$17.32,2020,Buy,Canon,17.32,1.0,CAJ
2481,"Jul 29, 2020","Delta Air Lines Market BuyJul 29, 2020",$25.991 share at $25.99,$25.99,$25.99,2020,Buy,Delta Air Lines,25.99,1.0,DAL
2480,"Jul 29, 2020","JetBlue Airways Market BuyJul 29, 2020",$10.161 share at $10.16,$10.16,$10.16,2020,Buy,JetBlue Airways,10.16,1.0,JBLU
2479,"Jul 29, 2020","Xerox Market BuyJul 29, 2020",$15.051 share at $15.05,$15.05,$15.05,2020,Buy,Xerox,15.05,1.0,XRX
2478,"Jul 29, 2020","Cinemark Market BuyJul 29, 2020",$11.361 share at $11.36,$11.36,$11.36,2020,Buy,Cinemark,11.36,1.0,CNK
2477,"Jul 29, 2020","Mazda Market BuyJul 29, 2020",$3.041 share at $3.04,$3.04,$3.04,2020,Buy,Mazda,3.04,1.0,MZDAY
2476,"Jul 29, 2020","Delta Air Lines Market BuyJul 29, 2020",$25.611 share at $25.61,$25.61,$25.61,2020,Buy,Delta Air Lines,25.61,1.0,DAL
2475,"Jul 29, 2020","JetBlue Airways Market BuyJul 29, 2020",$10.021 share at $10.02,$10.02,$10.02,2020,Buy,JetBlue Airways,10.02,1.0,JBLU
2474,"Jul 29, 2020","Biogen Market BuyJul 29, 2020",$13.910.05 shares at $278.20,$13.91,$278.20,2020,Buy,Biogen,13.91,0.05,BIIB
2473,"Jul 29, 2020","Stmicroelectronics Market BuyJul 29, 2020",$14.380.5 shares at $28.76,$14.38,$28.76,2020,Buy,Stmicroelectronics,14.38,0.5,STM
2472,"Jul 29, 2020","Albemarle Market BuyJul 29, 2020",$8.270.1 shares at $82.70,$8.27,$82.70,2020,Buy,Albemarle,8.27,0.09999999999999999,ALB
2471,"Jul 29, 2020","Amgen Market BuyJul 29, 2020",$37.140.15 shares at $247.60,$37.14,$247.60,2020,Buy,Amgen,37.14,0.15,AMGN
2470,"Jul 29, 2020","Automatic Data Processing Market BuyJul 29, 2020",$27.440.2 shares at $137.20,$27.44,$137.20,2020,Buy,Automatic Data Processing,27.44,0.20000000000000004,ADP
2469,"Jul 29, 2020","Lumen Technologies Market BuyJul 29, 2020",$9.791 share at $9.79,$9.79,$9.79,2020,Buy,Lumen Technologies,9.79,1.0,LUMN
2468,"Jul 29, 2020","Duke Energy Market BuyJul 29, 2020",$8.400.1 shares at $84.00,$8.40,$84.00,2020,Buy,Duke Energy,8.4,0.1,DUK
2467,"Jul 29, 2020","Automatic Data Processing Market BuyJul 29, 2020",$13.570.1 shares at $135.70,$13.57,$135.70,2020,Buy,Automatic Data Processing,13.57,0.1,ADP
2466,"Jul 29, 2020","Micron Technology Market BuyJul 29, 2020",$4.990.1 shares at $49.90,$4.99,$49.90,2020,Buy,Micron Technology,4.99,0.1,MU
2465,"Jul 29, 2020","Intel Market BuyJul 29, 2020",$47.981 share at $47.98,$47.98,$47.98,2020,Buy,Intel,47.98,1.0,INTC
2464,"Jul 29, 2020","3M Market BuyJul 29, 2020",$15.590.1 shares at $155.90,$15.59,$155.90,2020,Buy,3M,15.59,0.09999999999999999,MMM
2463,"Jul 29, 2020","American Electric Power Market BuyJul 29, 2020",$42.100.5 shares at $84.20,$42.10,$84.20,2020,Buy,American Electric Power,42.1,0.5,AEP
2462,"Jul 30, 2020","US Concrete Market BuyJul 30, 2020",$24.941 share at $24.94,$24.94,$24.94,2020,Buy,US Concrete,24.94,1.0,USCR
2461,"Jul 30, 2020","Eli Lilly Market BuyJul 30, 2020",$15.490.1 shares at $154.90,$15.49,$154.90,2020,Buy,Eli Lilly,15.49,0.09999999999999999,LLY
2460,"Jul 30, 2020","Medtronic Market BuyJul 30, 2020",$9.570.1 shares at $95.70,$9.57,$95.70,2020,Buy,Medtronic,9.57,0.1,MDT
2459,"Jul 30, 2020","Linde Market BuyJul 30, 2020",$23.890.1 shares at $238.90,$23.89,$238.90,2020,Buy,Linde,23.89,0.1,LIN
2458,"Jul 30, 2020","Texas Instruments Market BuyJul 30, 2020",$12.860.1 shares at $128.60,$12.86,$128.60,2020,Buy,Texas Instruments,12.86,0.1,TXN
2457,"Jul 30, 2020","American Tower Market BuyJul 30, 2020",$26.310.1 shares at $263.10,$26.31,$263.10,2020,Buy,American Tower,26.31,0.09999999999999999,AMT
2456,"Jul 30, 2020","Union Pacific Market BuyJul 30, 2020",$17.350.1 shares at $173.50,$17.35,$173.50,2020,Buy,Union Pacific,17.35,0.1,UNP
2455,"Jul 30, 2020","3M Market BuyJul 30, 2020",$15.170.1 shares at $151.70,$15.17,$151.70,2020,Buy,3M,15.17,0.1,MMM
2454,"Jul 30, 2020","Stanley Black & Decker Market BuyJul 30, 2020",$15.170.1 shares at $151.70,$15.17,$151.70,2020,Buy,Stanley Black & Decker,15.17,0.1,SWK
2453,"Jul 30, 2020","ServiceNow Market BuyJul 30, 2020",$42.240.1 shares at $422.40,$42.24,$422.40,2020,Buy,ServiceNow,42.24,0.1,NOW
2452,"Jul 30, 2020","A.O. Smith Market BuyJul 30, 2020",$4.890.1 shares at $48.90,$4.89,$48.90,2020,Buy,A.O. Smith,4.89,0.09999999999999999,AOS
2451,"Jul 30, 2020","Automatic Data Processing Market BuyJul 30, 2020",$13.290.1 shares at $132.90,$13.29,$132.90,2020,Buy,Automatic Data Processing,13.29,0.09999999999999999,ADP
2450,"Jul 30, 2020","Ecolab Market BuyJul 30, 2020",$19.030.1 shares at $190.30,$19.03,$190.30,2020,Buy,Ecolab,19.03,0.1,ECL
2449,"Jul 30, 2020","Jumia Technologies Market BuyJul 30, 2020",$13.111 share at $13.11,$13.11,$13.11,2020,Buy,Jumia Technologies,13.11,1.0,JMIA
2448,"Jul 30, 2020","Mazda Market BuyJul 30, 2020",$2.951 share at $2.95,$2.95,$2.95,2020,Buy,Mazda,2.95,1.0,MZDAY
2447,"Jul 30, 2020","Stmicroelectronics Market BuyJul 30, 2020",$14.120.5 shares at $28.24,$14.12,$28.24,2020,Buy,Stmicroelectronics,14.12,0.5,STM
2446,"Jul 30, 2020","Aptiv Market BuyJul 30, 2020",$8.030.1 shares at $80.30,$8.03,$80.30,2020,Buy,Aptiv,8.03,0.09999999999999999,APTV
2445,"Jul 30, 2020","Baxter Market BuyJul 30, 2020",$8.520.1 shares at $85.20,$8.52,$85.20,2020,Buy,Baxter,8.52,0.09999999999999999,BAX
2444,"Jul 30, 2020","BorgWarner Market BuyJul 30, 2020",$11.200.3 shares at $37.33,$11.20,$37.33,2020,Buy,BorgWarner,11.2,0.3000267881060809,BWA
2443,"Jul 30, 2020","Cardinal Health Market BuyJul 30, 2020",$11.180.2 shares at $55.90,$11.18,$55.90,2020,Buy,Cardinal Health,11.18,0.2,CAH
2442,"Jul 30, 2020","Cerner Market BuyJul 30, 2020",$14.250.2 shares at $71.25,$14.25,$71.25,2020,Buy,Cerner,14.25,0.2,CERN
2441,"Jul 30, 2020","CVS Market BuyJul 30, 2020",$63.831 share at $63.83,$63.83,$63.83,2020,Buy,CVS,63.83,1.0,CVS
2440,"Jul 30, 2020","Walgreens Market BuyJul 30, 2020",$40.751 share at $40.75,$40.75,$40.75,2020,Buy,Walgreens,40.75,1.0,WBA
2439,"Jul 30, 2020","TJX Market BuyJul 30, 2020",$10.350.2 shares at $51.75,$10.35,$51.75,2020,Buy,TJX,10.35,0.19999999999999998,TJX
2438,"Jul 30, 2020","Deere Market BuyJul 30, 2020",$17.690.1 shares at $176.90,$17.69,$176.90,2020,Buy,Deere,17.69,0.1,DE
2437,"Jul 30, 2020","CSX Market BuyJul 30, 2020",$14.110.2 shares at $70.55,$14.11,$70.55,2020,Buy,CSX,14.11,0.2,CSX
2436,"Jul 31, 2020","3M Market BuyJul 31, 2020",$15.170.1 shares at $151.70,$15.17,$151.70,2020,Buy,3M,15.17,0.1,MMM
2435,"Jul 31, 2020","US Concrete Market BuyJul 31, 2020",$48.052 shares at $24.03,$48.05,$24.03,2020,Buy,US Concrete,48.05,1.9995838535164376,USCR
2434,"Jul 31, 2020","Dana Market BuyJul 31, 2020",$33.453 shares at $11.15,$33.45,$11.15,2020,Buy,Dana,33.45,3.0,DAN
2433,"Jul 31, 2020","Microsoft Market BuyJul 31, 2020",$20.040.1 shares at $200.40,$20.04,$200.40,2020,Buy,Microsoft,20.04,0.09999999999999999,MSFT
2432,"Jul 31, 2020","Tesla Market BuyJul 31, 2020","$29.270.02 shares at $1,463.50",$29.27,"$1,463.50",2020,Buy,Tesla,29.27,0.02,TSLA
2431,"Jul 31, 2020","Alphabet Class A Market BuyJul 31, 2020","$29.390.02 shares at $1,469.50",$29.39,"$1,469.50",2020,Buy,Alphabet Class A,29.39,0.02,GOOGL
2430,"Jul 31, 2020","Johnson & Johnson Market BuyJul 31, 2020",$14.560.1 shares at $145.60,$14.56,$145.60,2020,Buy,Johnson & Johnson,14.56,0.1,JNJ
2429,"Jul 31, 2020","Ecolab Market BuyJul 31, 2020",$18.640.1 shares at $186.40,$18.64,$186.40,2020,Buy,Ecolab,18.64,0.1,ECL
2428,"Jul 31, 2020","3M Market BuyJul 31, 2020",$29.970.2 shares at $149.85,$29.97,$149.85,2020,Buy,3M,29.97,0.2,MMM
2427,"Jul 31, 2020","Texas Instruments Market BuyJul 31, 2020",$25.370.2 shares at $126.85,$25.37,$126.85,2020,Buy,Texas Instruments,25.37,0.2,TXN
2426,"Jul 31, 2020","Union Pacific Market BuyJul 31, 2020",$16.980.1 shares at $169.80,$16.98,$169.80,2020,Buy,Union Pacific,16.98,0.09999999999999999,UNP
