,Date,Type,Total,Total for Shares,Price per share
717,Jul 7,Lam Research Market BuyJul 7,$61.960.1 shares at $619.60,$61.960.1,$619.60
718,Jul 7,Airbnb Market BuyJul 7,$35.970.25 shares at $143.88,$35.970.25,$143.88
719,Jul 7,Hyliion Market BuyJul 7,$21.512 shares at $10.76,$21.512,$10.76
720,Jul 7,Ballard Power Systems Market BuyJul 7,$83.285 shares at $16.66,$83.285,$16.66
721,Jul 7,Clean Energy Fuels Market BuyJul 7,$8.961 share at $8.96,$8.96,$8.96
722,Jul 7,Plug Power Market BuyJul 7,$30.251 share at $30.25,$30.25,$30.25
723,Jul 7,Bloom Energy Market BuyJul 7,$23.641 share at $23.64,$23.64,$23.64
724,Jul 7,Velodyne Lidar Market BuyJul 7,$46.595 shares at $9.32,$46.595,$9.32
725,Jul 7,ARK Innovation ETF Market BuyJul 7,$31.090.25 shares at $124.36,$31.090.25,$124.36
726,Jul 7,Clean Energy Fuels Market BuyJul 7,$18.012 shares at $9.01,$18.012,$9.01
727,Jul 7,Bloom Energy Market BuyJul 7,$23.721 share at $23.72,$23.72,$23.72
728,Jul 7,Plug Power Market BuyJul 7,$30.341 share at $30.34,$30.34,$30.34
729,Jul 7,Desktop Metal Limit BuyJul 7,Canceled,,
730,Jul 7,Air Transport Services Market BuyJul 7,$21.931 share at $21.93,$21.93,$21.93
731,Jul 7,ChargePoint Market BuyJul 7,$28.521 share at $28.52,$28.52,$28.52
732,Jul 7,ARK Space Exploration & Innovation Market BuyJul 7,$20.821 share at $20.82,$20.82,$20.82
733,Jul 7,ARK Autonomous Technology & Robotics Market BuyJul 7,$8.310.1 shares at $83.10,$8.310.1,$83.10
734,Jul 7,ARK Genomic Revolution ETF Market BuyJul 7,$8.910.1 shares at $89.10,$8.910.1,$89.10
735,Jul 7,ARK Next Generation Internet Market BuyJul 7,$14.930.1 shares at $149.30,$14.930.1,$149.30
736,Jul 7,QuantumScape Market BuyJul 7,$24.771 share at $24.77,$24.77,$24.77
737,Jul 7,Ballard Power Systems Market BuyJul 7,$83.895 shares at $16.78,$83.895,$16.78
738,Jul 7,Velodyne Lidar Market BuyJul 7,$95.1910 shares at $9.52,$95.1910,$9.52
739,Jul 6,iShares Global Clean Energy ETF Limit BuyJul 6,$236.0810 shares at $23.61,$236.0810,$23.61
740,Jul 6,Xcel Energy Market BuyJul 6,$66.641 share at $66.64,$66.64,$66.64
741,Jul 6,Magna Market BuyJul 6,$90.241 share at $90.24,$90.24,$90.24
742,Jul 6,Porsche Limit BuyJul 6,Canceled,,
743,Jul 6,Consolidated Edison Market BuyJul 6,$71.631 share at $71.63,$71.63,$71.63
744,Jul 6,Dominion Energy Market BuyJul 6,$74.141 share at $74.14,$74.14,$74.14
745,Jul 6,Atmos Energy Limit BuyJul 6,$95.691 share at $95.69,$95.69,$95.69
746,Jul 6,Dow Market BuyJul 6,$123.362 shares at $61.68,$123.362,$61.68
747,Jul 6,U.S. Xpress Limit BuyJul 6,$162.0020 shares at $8.10,$162.0020,$8.10
748,Jul 6,Big Lots Market BuyJul 6,$62.601 share at $62.60,$62.60,$62.60
749,Jul 6,Porsche Limit BuyJul 6,$10.521 share at $10.52,$10.52,$10.52
750,Jul 6,U.S. Xpress Limit BuyJul 6,$40.755 shares at $8.15,$40.755,$8.15
751,Jul 6,Velodyne Lidar Limit BuyJul 6,$49.905 shares at $9.98,$49.905,$9.98
752,Jul 6,Kraft Foods Market BuyJul 6,$39.351 share at $39.35,$39.35,$39.35
753,Jul 6,Air Products & Chemicals Market BuyJul 6,$28.770.1 shares at $287.70,$28.770.1,$287.70
754,Jul 6,Porsche Limit BuyJul 6,$10.651 share at $10.65,$10.65,$10.65
755,Jul 2,Autodesk Market SellJul 2,$29.620.1 shares at $296.20,$29.620.1,$296.20
756,Jul 2,Skyworks Market SellJul 2,$190.961 share at $190.96,$190.96,$190.96
757,Jul 2,Apple Market SellJul 2,$139.091 share at $139.09,$139.09,$139.09
758,Jul 2,Microsoft Market SellJul 2,$276.191 share at $276.19,$276.19,$276.19
759,Jul 2,Merck Market SellJul 2,$78.521 share at $78.52,$78.52,$78.52
760,Jul 2,Whirlpool Market BuyJul 2,$219.391 share at $219.39,$219.39,$219.39
761,Jul 2,U.S. Xpress Limit BuyJul 2,$83.8010 shares at $8.38,$83.8010,$8.38
762,Jul 2,Huntsman Market BuyJul 2,$52.432 shares at $26.22,$52.432,$26.22
763,Jul 1,Porsche Limit BuyJul 1,$53.805 shares at $10.76,$53.805,$10.76
764,Jul 1,Nintendo Market BuyJul 1,$72.471 share at $72.47,$72.47,$72.47
765,Jun 30,NIO Market SellJun 30,$53.081 share at $53.08,$53.08,$53.08
766,Jun 30,Desktop Metal Limit BuyJun 30,$58.205 shares at $11.64,$58.205,$11.64
767,Jun 30,U.S. Xpress Limit BuyJun 30,$84.9010 shares at $8.49,$84.9010,$8.49
768,Jun 28,U.S. Xpress Limit BuyJun 28,$90.5010 shares at $9.05,$90.5010,$9.05
769,Jun 24,Tesla Market SellJun 24,$347.360.5 shares at $694.72,$347.360.5,$694.72
770,Jun 24,Utilities Select Sector SPDR Fund Market BuyJun 24,$63.131 share at $63.13,$63.13,$63.13
771,Jun 24,Tesla Market SellJun 24,$68.860.1 shares at $688.60,$68.860.1,$688.60
772,Jun 24,KB Home Limit BuyJun 24,$120.903 shares at $40.30,$120.903,$40.30
773,Jun 24,KB Home Market BuyJun 24,$80.622 shares at $40.31,$80.622,$40.31
774,Jun 23,Tesla Trailing Stop SellJun 23,Canceled,,
775,Jun 22,Corsair Gaming Limit BuyJun 22,Canceled,,
776,Jun 22,Hyliion Limit BuyJun 22,$111.9010 shares at $11.19,$111.9010,$11.19
777,Jun 22,Nexa Resources Limit BuyJun 22,Canceled,,
778,Jun 22,Air Transport Services Limit BuyJun 22,$91.964 shares at $22.99,$91.964,$22.99
779,Jun 22,Tapestry Market BuyJun 22,$41.671 share at $41.67,$41.67,$41.67
780,Jun 22,Taiwan Semiconductor Manufacturing Market BuyJun 22,$56.420.5 shares at $112.84,$56.420.5,$112.84
781,Jun 22,Canadian Solar Market BuyJun 22,$75.662 shares at $37.83,$75.662,$37.83
782,Jun 22,Coinbase Market BuyJun 22,$53.090.25 shares at $212.36,$53.090.25,$212.36
783,Jun 22,Bayer Market BuyJun 22,$30.642 shares at $15.32,$30.642,$15.32
784,Jun 22,Coinbase Market BuyJun 22,$53.730.25 shares at $214.92,$53.730.25,$214.92
785,Jun 21,Bitcoin Market BuyJun 21,"$323.480.01001094 Bitcoin at $32,312.02",$323.48,"$32,312.02"
786,Jun 21,Ballard Power Systems Limit BuyJun 21,$82.485 shares at $16.50,$82.485,$16.50
787,Jun 21,Desktop Metal Market BuyJun 21,$60.635 shares at $12.13,$60.635,$12.13
788,Jun 21,Etsy Market BuyJun 21,$82.930.5 shares at $165.86,$82.930.5,$165.86
789,Jun 21,Taiwan Semiconductor Manufacturing Market BuyJun 21,$56.730.5 shares at $113.46,$56.730.5,$113.46
790,Jun 21,Bayer Market BuyJun 21,$31.062 shares at $15.53,$31.062,$15.53
791,Jun 21,Utilities Select Sector SPDR Fund Market BuyJun 21,$63.621 share at $63.62,$63.62,$63.62
792,Jun 21,Coinbase Market BuyJun 21,$110.490.5 shares at $220.98,$110.490.5,$220.98
793,Jun 21,Eversource Market BuyJun 21,$39.680.5 shares at $79.36,$39.680.5,$79.36
794,Jun 18,Eversource Market BuyJun 18,$81.431 share at $81.43,$81.43,$81.43
795,Jun 18,American Electric Power Market BuyJun 18,$82.531 share at $82.53,$82.53,$82.53
796,Jun 18,Kimberly-Clark Market BuyJun 18,$128.601 share at $128.60,$128.60,$128.60
797,Jun 18,RE/MAX Market BuyJun 18,$32.971 share at $32.97,$32.97,$32.97
798,Jun 18,Linde Market BuyJun 18,$28.320.1 shares at $283.20,$28.320.1,$283.20
799,Jun 18,Cisco Systems Market BuyJun 18,$52.021 share at $52.02,$52.02,$52.02
800,Jun 18,Taiwan Semiconductor Manufacturing Limit BuyJun 18,$115.801 share at $115.80,$115.80,$115.80
801,Jun 18,Intel Market BuyJun 18,$110.742 shares at $55.37,$110.742,$55.37
802,Jun 18,Eastman Chemical Market BuyJun 18,$115.641 share at $115.64,$115.64,$115.64
803,Jun 18,Qualcomm Market BuyJun 18,$268.002 shares at $134.00,$268.002,$134.00
804,Jun 18,Verizon Market BuyJun 18,$111.302 shares at $55.65,$111.302,$55.65
805,Jun 18,QuantumScape Market BuyJun 18,$106.594 shares at $26.65,$106.594,$26.65
806,Jun 18,Linde Market BuyJun 18,$56.820.2 shares at $284.10,$56.820.2,$284.10
807,Jun 18,Tapestry Market BuyJun 18,$41.181 share at $41.18,$41.18,$41.18
808,Jun 18,Ralph Lauren Market BuyJun 18,$113.881 share at $113.88,$113.88,$113.88
809,Jun 18,Roblox Market BuyJun 18,$80.971 share at $80.97,$80.97,$80.97
810,Jun 18,Cummins Market BuyJun 18,$116.140.5 shares at $232.28,$116.140.5,$232.28
811,Jun 18,Siemens Market BuyJun 18,$79.791 share at $79.79,$79.79,$79.79
812,Jun 18,Procter & Gamble Market BuyJun 18,$132.711 share at $132.71,$132.71,$132.71
813,Jun 18,iShares Global Clean Energy ETF Market BuyJun 18,$112.805 shares at $22.56,$112.805,$22.56
814,Jun 18,Nexa Resources Market BuyJun 18,$84.0310 shares at $8.40,$84.0310,$8.40
815,Jun 18,Best Buy Market BuyJun 18,$108.181 share at $108.18,$108.18,$108.18
816,Jun 18,Linde Market BuyJun 18,$28.440.1 shares at $284.40,$28.440.1,$284.40
817,Jun 17,U.S. Xpress Limit BuyJun 17,$90.6110 shares at $9.06,$90.6110,$9.06
818,Jun 17,Cummins Market BuyJun 17,$117.560.5 shares at $235.12,$117.560.5,$235.12
819,Jun 17,Cummins Limit BuyJun 17,$235.001 share at $235.00,$235.00,$235.00
820,Jun 17,Roblox Limit BuyJun 17,Canceled,,
821,Jun 17,U.S. Xpress Limit BuyJun 17,$141.4515 shares at $9.43,$141.4515,$9.43
822,Jun 17,Nexa Resources Limit BuyJun 17,$58.807 shares at $8.40,$58.807,$8.40
823,Jun 16,Big Lots Limit BuyJun 16,Canceled,,
824,Jun 16,U.S. Xpress Limit BuyJun 16,$81.088 shares at $10.14,$81.088,$10.14
825,Jun 16,Nexa Resources Limit BuyJun 16,$45.555 shares at $9.11,$45.555,$9.11
826,Jun 15,Nexa Resources Limit BuyJun 15,$99.4510 shares at $9.95,$99.4510,$9.95
827,Jun 15,Best Buy Limit BuyJun 15,Canceled,,
828,Jun 8,Plug Power Trailing Stop SellJun 8,Canceled,,
829,Jun 8,Velodyne Lidar Limit BuyJun 8,Canceled,,
830,Jun 8,Big Lots Trailing Stop SellJun 8,$70.231 share at $70.23,$70.23,$70.23
831,Jun 8,Eversource Market BuyJun 8,$40.390.5 shares at $80.78,$40.390.5,$80.78
832,Jun 8,American Electric Power Market BuyJun 8,$41.110.5 shares at $82.22,$41.110.5,$82.22
833,Jun 8,Shift Technologies Stop Loss SellJun 8,$82.0010 shares at $8.20,$82.0010,$8.20
834,Jun 8,Big Lots Stop Loss SellJun 8,Canceled,,
835,Jun 8,Velodyne Lidar Stop Loss SellJun 8,$287.2525 shares at $11.49,$287.2525,$11.49
836,Jun 8,Coinbase Market BuyJun 8,$56.450.25 shares at $225.80,$56.450.25,$225.80
837,Jun 7,U.S. Xpress Limit BuyJun 7,Canceled,,
838,Jun 7,Merck Market BuyJun 7,$72.881 share at $72.88,$72.88,$72.88
839,Jun 7,Air Products & Chemicals Market BuyJun 7,$29.970.1 shares at $299.70,$29.970.1,$299.70
840,Jun 7,Linde Market BuyJun 7,$29.130.1 shares at $291.30,$29.130.1,$291.30
841,Jun 7,Hyliion Stop Loss SellJun 7,$293.7525 shares at $11.75,$293.7525,$11.75
842,Jun 7,Merck Market BuyJun 7,$73.141 share at $73.14,$73.14,$73.14
843,Jun 3,Toyota Stop Loss SellJun 3,$176.791 share at $176.79,$176.79,$176.79
844,Jun 3,Tesla Limit BuyJun 3,Canceled,,
845,Jun 3,Airbnb Limit BuyJun 3,Canceled,,
846,Jun 3,Sunrun Market BuyJun 3,$41.271 share at $41.27,$41.27,$41.27
847,Jun 3,Qualcomm Limit BuyJun 3,Canceled,,
848,Jun 3,Sunrun Market BuyJun 3,$41.481 share at $41.48,$41.48,$41.48
849,Jun 3,Tesla Limit BuyJun 3,$572.411 share at $572.41,$572.41,$572.41
850,Jun 3,Tesla Market BuyJun 3,$57.670.1 shares at $576.70,$57.670.1,$576.70
851,Jun 3,ARK Innovation ETF Market BuyJun 3,$53.980.5 shares at $107.96,$53.980.5,$107.96
852,Jun 3,Kimberly-Clark Limit BuyJun 3,$128.891 share at $128.89,$128.89,$128.89
853,Jun 3,Canadian Solar Market BuyJun 3,$38.571 share at $38.57,$38.57,$38.57
854,Jun 3,Cisco Systems Market SellJun 3,$53.231 share at $53.23,$53.23,$53.23
855,Jun 3,Velodyne Lidar Limit BuyJun 3,$195.0020 shares at $9.75,$195.0020,$9.75
856,Jun 3,Fox (Class B) Market BuyJun 3,$104.753 shares at $34.92,$104.753,$34.92
857,Jun 3,Best Buy Market BuyJun 3,$115.511 share at $115.51,$115.51,$115.51
858,Jun 3,Etsy Market BuyJun 3,$42.200.25 shares at $168.80,$42.200.25,$168.80
859,Jun 3,Big Lots Stop Loss SellJun 3,Canceled,,
860,Jun 3,Roblox Limit BuyJun 3,Canceled,,
861,Jun 3,Desktop Metal Limit BuyJun 3,$68.755 shares at $13.75,$68.755,$13.75
862,Jun 3,Gores Holdings VI Limit BuyJun 3,Canceled,,
863,Jun 3,Ballard Power Systems Limit BuyJun 3,$168.0010 shares at $16.80,$168.0010,$16.80
864,Jun 2,Gores Holdings VI Stop Loss SellJun 2,$363.7426 shares at $13.99,$363.7426,$13.99
865,Jun 2,Poshmark Stop Loss SellJun 2,$142.203 shares at $47.40,$142.203,$47.40
866,Jun 2,Desktop Metal Limit BuyJun 2,$65.005 shares at $13.00,$65.005,$13.00
867,Jun 2,Desktop Metal Stop Loss SellJun 2,$71.255 shares at $14.25,$71.255,$14.25
868,Jun 2,Hyliion Stop Loss SellJun 2,Canceled,,
869,Jun 2,Honda Stop Loss SellJun 2,$31.001 share at $31.00,$31.00,$31.00
870,Jun 2,Sony Stop Loss SellJun 2,$96.581 share at $96.58,$96.58,$96.58
871,Jun 2,Roblox Stop Loss SellJun 2,$98.001 share at $98.00,$98.00,$98.00
872,Jun 2,Tesla Market BuyJun 2,$60.130.1 shares at $601.30,$60.130.1,$601.30
873,Jun 2,Plug Power Stop Loss SellJun 2,Canceled,,
874,Jun 2,Desktop Metal Stop Loss SellJun 2,Canceled,,
875,Jun 2,Hyliion Stop Loss SellJun 2,Canceled,,
876,Jun 2,Amazon Market SellJun 2,"$32.340.01 shares at $3,234.00",$32.340.01,"$3,234.00"
877,Jun 2,Desktop Metal Stop Loss SellJun 2,Canceled,,
878,Jun 2,Airbnb Stop Loss SellJun 2,$295.702 shares at $147.85,$295.702,$147.85
879,Jun 2,Hyliion Limit BuyJun 2,Canceled,,
880,Jun 2,Bloom Energy Limit BuyJun 2,Canceled,,
881,Jun 2,Plug Power Limit BuyJun 2,Canceled,,
882,Jun 2,NIO Stop Loss SellJun 2,Canceled,,
883,Jun 2,Tapestry Limit BuyJun 2,$129.003 shares at $43.00,$129.003,$43.00
884,Jun 2,U.S. Xpress Limit BuyJun 2,$199.0717 shares at $11.71,$199.0717,$11.71
885,Jun 2,Ralph Lauren Limit BuyJun 2,$120.001 share at $120.00,$120.00,$120.00
886,Jun 2,Tanger Factory Outlet Centers Limit BuyJun 2,Canceled,,
887,Jun 2,Ballard Power Systems Limit BuyJun 2,Canceled,,
888,Jun 2,Etsy Stop Loss SellJun 2,$166.011 share at $166.01,$166.01,$166.01
889,Jun 2,Nexa Resources Limit BuyJun 2,$198.0018 shares at $11.00,$198.0018,$11.00
890,Jun 2,Medallia Stop Loss SellJun 2,Canceled,,
891,Jun 2,Big Lots Stop Loss SellJun 2,Canceled,,
892,Jun 2,Ralph Lauren Stop Loss SellJun 2,$122.961 share at $122.96,$122.96,$122.96
893,Jun 2,AMD Stop Loss SellJun 2,$80.001 share at $80.00,$80.00,$80.00
894,Jun 2,Taiwan Semiconductor Manufacturing Stop Loss SellJun 2,$231.882 shares at $115.94,$231.882,$115.94
895,Jun 2,Tanger Factory Outlet Centers Stop Loss SellJun 2,$182.5010 shares at $18.25,$182.5010,$18.25
896,Jun 2,Toyota Stop Loss SellJun 2,Canceled,,
897,Jun 2,Skyworks Stop Loss SellJun 2,Canceled,,
898,Jun 2,Qualcomm Limit SellJun 2,$133.261 share at $133.26,$133.26,$133.26
899,Jun 2,Porsche Stop Loss SellJun 2,$11.291 share at $11.29,$11.29,$11.29
900,Jun 1,NextEra Energy Market BuyJun 1,$68.811 share at $68.81,$68.81,$68.81
901,Jun 1,NVIDIA Market SellJun 1,$130.840.2 shares at $654.20,$130.840.2,$654.20
902,Jun 1,Velodyne Lidar Limit BuyJun 1,$76.808 shares at $9.60,$76.808,$9.60
903,Jun 1,Medallia Limit BuyJun 1,$101.004 shares at $25.25,$101.004,$25.25
904,Jun 1,Shift Technologies Stop Loss SellJun 1,Canceled,,
905,Jun 1,Gores Holdings VI Stop Loss SellJun 1,Canceled,,
906,Jun 1,Ballard Power Systems Stop Loss SellJun 1,$544.0032 shares at $17.00,$544.0032,$17.00
907,Jun 1,Toyota Stop Loss SellJun 1,Canceled,,
908,Jun 1,Hyliion Stop Loss SellJun 1,Canceled,,
909,Jun 1,Bloom Energy Stop Loss SellJun 1,Canceled,,
910,Jun 1,Plug Power Stop Loss SellJun 1,Canceled,,
911,Jun 1,GoodRx Stop Loss SellJun 1,$35.001 share at $35.00,$35.00,$35.00
912,Jun 1,Tanger Factory Outlet Centers Stop Loss SellJun 1,Canceled,,
913,May 28,Clean Energy Fuels Limit BuyMay 28,$78.0010 shares at $7.80,$78.0010,$7.80
914,May 28,Big Lots Market BuyMay 28,$121.162 shares at $60.58,$121.162,$60.58
915,May 27,NIO Stop Loss SellMay 27,Canceled,,
916,May 27,Pubmatic Stop Loss SellMay 27,$93.003 shares at $31.00,$93.003,$31.00
917,May 27,Poshmark Stop Loss SellMay 27,Canceled,,
918,May 27,Roblox Stop Loss SellMay 27,Canceled,,
919,May 27,RE/MAX Market BuyMay 27,$35.151 share at $35.15,$35.15,$35.15
920,May 27,Dollar Tree Market BuyMay 27,$100.321 share at $100.32,$100.32,$100.32
921,May 27,PowerShares QQQ Limit SellMay 27,$667.762 shares at $333.88,$667.762,$333.88
922,May 27,Deposit from Checking (non-interest)May 27,"$5,000.00",,
923,May 26,Kimberly-Clark Market BuyMay 26,$131.031 share at $131.03,$131.03,$131.03
924,May 26,PowerShares QQQ Market BuyMay 26,$667.202 shares at $333.60,$667.202,$333.60
925,May 25,Honda Market BuyMay 25,$30.371 share at $30.37,$30.37,$30.37
926,May 25,Porsche Market BuyMay 25,$10.611 share at $10.61,$10.61,$10.61
927,May 25,ARK Innovation ETF Market BuyMay 25,$54.730.5 shares at $109.46,$54.730.5,$109.46
928,May 25,iShares Russell 2000 ETF Market BuyMay 25,$22.190.1 shares at $221.90,$22.190.1,$221.90
929,May 25,PowerShares QQQ Market BuyMay 25,$33.270.1 shares at $332.70,$33.270.1,$332.70
930,May 25,SPDR Dow Jones Industrial Average ETF Market BuyMay 25,$34.400.1 shares at $344.00,$34.400.1,$344.00
931,May 25,SPDR S&P 500 ETF Market BuyMay 25,$41.900.1 shares at $419.00,$41.900.1,$419.00
932,May 24,Ralph Lauren Limit BuyMay 24,$119.501 share at $119.50,$119.50,$119.50
933,May 24,QuantumScape Limit BuyMay 24,$25.001 share at $25.00,$25.00,$25.00
934,May 24,Clean Energy Fuels Limit BuyMay 24,$61.488 shares at $7.69,$61.488,$7.69
935,May 24,Shift Technologies Limit BuyMay 24,$59.409 shares at $6.60,$59.409,$6.60
936,May 24,Shift Technologies Market BuyMay 24,$6.591 share at $6.59,$6.59,$6.59
937,May 20,FIGS IPO BuyMay 20,Canceled,,
938,May 19,Cisco Systems Market BuyMay 19,$49.221 share at $49.22,$49.22,$49.22
939,May 19,Coinbase Market BuyMay 19,$53.880.25 shares at $215.52,$53.880.25,$215.52
940,May 19,Coinbase Market BuyMay 19,Canceled,,
941,May 19,Tesla Market BuyMay 19,$54.770.1 shares at $547.70,$54.770.1,$547.70
942,May 18,Coinbase Market BuyMay 18,$239.391 share at $239.39,$239.39,$239.39
943,May 18,Coinbase Limit BuyMay 18,Canceled,,
944,May 17,Pubmatic Market BuyMay 17,$91.153 shares at $30.38,$91.153,$30.38
945,May 17,Poshmark Limit BuyMay 17,$34.121 share at $34.12,$34.12,$34.12
946,May 17,Poshmark Market BuyMay 17,$34.411 share at $34.41,$34.41,$34.41
947,May 17,Skyworks Market BuyMay 17,$121.320.75 shares at $161.76,$121.320.75,$161.76
948,May 17,Tesla Market BuyMay 17,$57.910.1 shares at $579.10,$57.910.1,$579.10
949,May 17,Coinbase Market BuyMay 17,$59.780.25 shares at $239.12,$59.780.25,$239.12
950,May 17,Taiwan Semiconductor Manufacturing Market BuyMay 17,$81.370.75 shares at $108.49,$81.370.75,$108.49
951,May 17,Airbnb Market BuyMay 17,$133.211 share at $133.21,$133.21,$133.21
952,May 14,NIO Market BuyMay 14,$33.391 share at $33.39,$33.39,$33.39
953,May 14,Poshmark Market BuyMay 14,$35.941 share at $35.94,$35.94,$35.94
954,May 14,Tanger Factory Outlet Centers Market BuyMay 14,$163.4610 shares at $16.35,$163.4610,$16.35
955,May 13,Gores Holdings VI Market BuyMay 13,$21.092 shares at $10.55,$21.092,$10.55
956,May 13,Velodyne Lidar Market BuyMay 13,$18.982 shares at $9.49,$18.982,$9.49
957,May 13,Ballard Power Systems Market BuyMay 13,$27.602 shares at $13.80,$27.602,$13.80
958,May 13,NVIDIA Market BuyMay 13,$54.280.1 shares at $542.80,$54.280.1,$542.80
959,May 13,Enphase Energy Market BuyMay 13,$57.030.5 shares at $114.06,$57.030.5,$114.06
960,May 13,Etsy Market BuyMay 13,$39.160.25 shares at $156.64,$39.160.25,$156.64
961,May 13,Airbnb Market BuyMay 13,$67.130.5 shares at $134.26,$67.130.5,$134.26
962,May 13,Velodyne Lidar Market BuyMay 13,$28.673 shares at $9.56,$28.673,$9.56
963,May 13,Tesla Market BuyMay 13,$57.170.1 shares at $571.70,$57.170.1,$571.70
964,May 12,Tesla Market BuyMay 12,$58.700.1 shares at $587.00,$58.700.1,$587.00
965,May 12,Qualcomm Market BuyMay 12,$31.020.25 shares at $124.08,$31.020.25,$124.08
966,May 12,Amazon Market BuyMay 12,"$31.430.01 shares at $3,143.00",$31.430.01,"$3,143.00"
967,May 12,Autodesk Market BuyMay 12,$53.870.2 shares at $269.35,$53.870.2,$269.35
968,May 12,NVIDIA Market BuyMay 12,$55.000.1 shares at $550.00,$55.000.1,$550.00
969,May 12,Ballard Power Systems Market BuyMay 12,$43.083 shares at $14.36,$43.083,$14.36
970,May 12,Bloom Energy Market BuyMay 12,$96.945 shares at $19.39,$96.945,$19.39
971,May 12,Sony Market BuyMay 12,$93.411 share at $93.41,$93.41,$93.41
972,May 12,Hyliion Market BuyMay 12,$82.5910 shares at $8.26,$82.5910,$8.26
973,May 12,Gores Holdings VI Market BuyMay 12,$98.609 shares at $10.96,$98.609,$10.96
974,May 12,NextEra Energy Market BuyMay 12,$144.942 shares at $72.47,$144.942,$72.47
975,May 12,Microsoft Market BuyMay 12,$239.551 share at $239.55,$239.55,$239.55
976,May 12,Apple Market BuyMay 12,$122.401 share at $122.40,$122.40,$122.40
977,May 12,Taiwan Semiconductor Manufacturing Market BuyMay 12,$27.180.25 shares at $108.72,$27.180.25,$108.72
978,May 12,Skyworks Market BuyMay 12,$40.340.25 shares at $161.36,$40.340.25,$161.36
979,May 12,Skyworks Market BuyMay 12,$40.330.25 shares at $161.32,$40.330.25,$161.32
980,May 12,Tesla Market BuyMay 12,$120.270.2 shares at $601.35,$120.270.2,$601.35
981,May 12,Velodyne Lidar Market BuyMay 12,$53.595 shares at $10.72,$53.595,$10.72
982,May 12,AMD Market BuyMay 12,$74.741 share at $74.74,$74.74,$74.74
983,May 12,Bloom Energy Market BuyMay 12,$98.225 shares at $19.64,$98.225,$19.64
984,May 12,Intel Market BuyMay 12,$54.181 share at $54.18,$54.18,$54.18
985,May 12,NextEra Energy Market BuyMay 12,$72.871 share at $72.87,$72.87,$72.87
986,May 12,Intel Market BuyMay 12,$54.151 share at $54.15,$54.15,$54.15
987,May 12,Bloom Energy Market BuyMay 12,$100.195 shares at $20.04,$100.195,$20.04
988,May 12,QuantumScape Market BuyMay 12,$27.911 share at $27.91,$27.91,$27.91
989,May 12,Taiwan Semiconductor Manufacturing Market BuyMay 12,$55.000.5 shares at $110.00,$55.000.5,$110.00
990,May 12,Qualcomm Market BuyMay 12,$62.750.5 shares at $125.50,$62.750.5,$125.50
991,May 11,Toyota Market BuyMay 11,$151.611 share at $151.61,$151.61,$151.61
992,May 11,Enphase Energy Market BuyMay 11,$11.790.1 shares at $117.90,$11.790.1,$117.90
993,May 11,Clean Energy Fuels Market BuyMay 11,$8.251 share at $8.25,$8.25,$8.25
994,May 11,Skyworks Market BuyMay 11,$40.360.25 shares at $161.44,$40.360.25,$161.44
995,May 11,Ballard Power Systems Market BuyMay 11,$13.381 share at $13.38,$13.38,$13.38
996,May 11,Gores Holdings VI Market BuyMay 11,$10.931 share at $10.93,$10.93,$10.93
997,May 11,Tesla Market BuyMay 11,$60.580.1 shares at $605.80,$60.580.1,$605.80
998,May 11,Airbnb Market BuyMay 11,$34.720.25 shares at $138.88,$34.720.25,$138.88
999,May 11,Plug Power Market BuyMay 11,$19.081 share at $19.08,$19.08,$19.08
1000,May 11,Velodyne Lidar Market BuyMay 11,$10.581 share at $10.58,$10.58,$10.58
1001,May 11,Clean Energy Fuels Market BuyMay 11,$8.021 share at $8.02,$8.02,$8.02
1002,May 11,Ballard Power Systems Market BuyMay 11,$13.121 share at $13.12,$13.12,$13.12
1003,May 10,Plug Power Market BuyMay 10,$20.121 share at $20.12,$20.12,$20.12
1004,May 10,Snowflake Market BuyMay 10,$48.250.25 shares at $193.00,$48.250.25,$193.00
1005,May 10,Canadian Solar Market BuyMay 10,$37.431 share at $37.43,$37.43,$37.43
1006,May 10,GoodRx Market BuyMay 10,$31.451 share at $31.45,$31.45,$31.45
1007,May 10,Roblox Market BuyMay 10,$65.321 share at $65.32,$65.32,$65.32
1008,May 10,Tesla Market BuyMay 10,$63.280.1 shares at $632.80,$63.280.1,$632.80
1009,May 10,Ballard Power Systems Market BuyMay 10,$43.263 shares at $14.42,$43.263,$14.42
1010,May 10,Ballard Power Systems Market BuyMay 10,$14.451 share at $14.45,$14.45,$14.45
1011,May 10,Plug Power Market BuyMay 10,$20.811 share at $20.81,$20.81,$20.81
1012,May 10,Hyliion Limit BuyMay 10,$77.409 shares at $8.60,$77.409,$8.60
1013,May 10,Plug Power Market BuyMay 10,$20.841 share at $20.84,$20.84,$20.84
1014,May 10,Plug Power Market BuyMay 10,$21.071 share at $21.07,$21.07,$21.07
1015,May 10,Plug Power Market BuyMay 10,$21.191 share at $21.19,$21.19,$21.19
1016,May 10,Bloom Energy Market BuyMay 10,$104.875 shares at $20.97,$104.875,$20.97
1017,May 10,Qualcomm Market BuyMay 10,$66.090.5 shares at $132.18,$66.090.5,$132.18
1018,May 10,ARK Innovation ETF Limit BuyMay 10,Canceled,,
1019,May 10,Hyliion Market BuyMay 10,$8.661 share at $8.66,$8.66,$8.66
1020,May 10,Plug Power Market BuyMay 10,$21.251 share at $21.25,$21.25,$21.25
