,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Sell?,Dividend?,Buy?,
770,24-Jun,Utilities Select Sector SPDR Fund Market BuyJun 24,$63.131 share at $63.13,63.10,$63.13 ,2021,Buy,Utilities Select Sector SPDR Fund ,63.1,0,0,63.1,
771,24-Jun,Tesla Market SellJun 24,$68.860.1 shares at $688.60,68.80,$688.60 ,2021,Sell,Tesla ,68.8,-68.8,0,0,
772,24-Jun,KB Home Limit BuyJun 24,$120.903 shares at $40.30,120.90,$40.30 ,2021,Buy,KB Home ,120.9,0,0,120.9,
773,24-Jun,KB Home Market BuyJun 24,$80.622 shares at $40.31,80.60,$40.31 ,2021,Buy,KB Home ,80.6,0,0,80.6,
776,22-Jun,Hyliion Limit BuyJun 22,$111.9010 shares at $11.19,111.90,$11.19 ,2021,Buy,Hyliion ,111.9,0,0,111.9,
778,22-Jun,Air Transport Services Limit BuyJun 22,$91.964 shares at $22.99,91.90,$22.99 ,2021,Buy,Air Transport Services ,91.9,0,0,91.9,
779,22-Jun,Tapestry Market BuyJun 22,$41.671 share at $41.67,41.60,$41.67 ,2021,Buy,Tapestry ,41.6,0,0,41.6,
780,22-Jun,Taiwan Semiconductor Manufacturing Market BuyJun 22,$56.420.5 shares at $112.84,56.40,$112.84 ,2021,Buy,Taiwan Semiconductor Manufacturing ,56.4,0,0,56.4,
781,22-Jun,Canadian Solar Market BuyJun 22,$75.662 shares at $37.83,75.60,$37.83 ,2021,Buy,Canadian Solar ,75.6,0,0,75.6,
782,22-Jun,Coinbase Market BuyJun 22,$53.090.25 shares at $212.36,53.00,$212.36 ,2021,Buy,Coinbase ,53,0,0,53,
783,22-Jun,Bayer Market BuyJun 22,$30.642 shares at $15.32,30.60,$15.32 ,2021,Buy,Bayer ,30.6,0,0,30.6,
784,22-Jun,Coinbase Market BuyJun 22,$53.730.25 shares at $214.92,53.70,$214.92 ,2021,Buy,Coinbase ,53.7,0,0,53.7,
785,21-Jun,Bitcoin Market BuyJun 21,"$323.480.01001094 Bitcoin at $32,312.02",323.40,"$32,312.02 ",2021,Buy,Bitcoin ,323.4,0,0,323.4,
786,21-Jun,Ballard Power Systems Limit BuyJun 21,$82.485 shares at $16.50,82.40,$16.50 ,2021,Buy,Ballard Power Systems ,82.4,0,0,82.4,
787,21-Jun,Desktop Metal Market BuyJun 21,$60.635 shares at $12.13,60.60,$12.13 ,2021,Buy,Desktop Metal ,60.6,0,0,60.6,
788,21-Jun,Etsy Market BuyJun 21,$82.930.5 shares at $165.86,82.90,$165.86 ,2021,Buy,Etsy ,82.9,0,0,82.9,
789,21-Jun,Taiwan Semiconductor Manufacturing Market BuyJun 21,$56.730.5 shares at $113.46,56.70,$113.46 ,2021,Buy,Taiwan Semiconductor Manufacturing ,56.7,0,0,56.7,
790,21-Jun,Bayer Market BuyJun 21,$31.062 shares at $15.53,31.00,$15.53 ,2021,Buy,Bayer ,31,0,0,31,
791,21-Jun,Utilities Select Sector SPDR Fund Market BuyJun 21,$63.621 share at $63.62,63.60,$63.62 ,2021,Buy,Utilities Select Sector SPDR Fund ,63.6,0,0,63.6,
792,21-Jun,Coinbase Market BuyJun 21,$110.490.5 shares at $220.98,110.40,$220.98 ,2021,Buy,Coinbase ,110.4,0,0,110.4,
793,21-Jun,Eversource Market BuyJun 21,$39.680.5 shares at $79.36,39.60,$79.36 ,2021,Buy,Eversource ,39.6,0,0,39.6,
794,18-Jun,Eversource Market BuyJun 18,$81.431 share at $81.43,81.40,$81.43 ,2021,Buy,Eversource ,81.4,0,0,81.4,
795,18-Jun,American Electric Power Market BuyJun 18,$82.531 share at $82.53,82.50,$82.53 ,2021,Buy,American Electric Power ,82.5,0,0,82.5,
796,18-Jun,Kimberly-Clark Market BuyJun 18,$128.601 share at $128.60,128.60,$128.60 ,2021,Buy,Kimberly-Clark ,128.6,0,0,128.6,
797,18-Jun,RE/MAX Market BuyJun 18,$32.971 share at $32.97,32.90,$32.97 ,2021,Buy,RE/MAX ,32.9,0,0,32.9,
798,18-Jun,Linde Market BuyJun 18,$28.320.1 shares at $283.20,28.30,$283.20 ,2021,Buy,Linde ,28.3,0,0,28.3,
799,18-Jun,Cisco Systems Market BuyJun 18,$52.021 share at $52.02,52.00,$52.02 ,2021,Buy,Cisco Systems ,52,0,0,52,
800,18-Jun,Taiwan Semiconductor Manufacturing Limit BuyJun 18,$115.801 share at $115.80,115.80,$115.80 ,2021,Buy,Taiwan Semiconductor Manufacturing ,115.8,0,0,115.8,
801,18-Jun,Intel Market BuyJun 18,$110.742 shares at $55.37,110.70,$55.37 ,2021,Buy,Intel ,110.7,0,0,110.7,
802,18-Jun,Eastman Chemical Market BuyJun 18,$115.641 share at $115.64,115.60,$115.64 ,2021,Buy,Eastman Chemical ,115.6,0,0,115.6,
803,18-Jun,Qualcomm Market BuyJun 18,$268.002 shares at $134.00,268.00,$134.00 ,2021,Buy,Qualcomm ,268,0,0,268,
804,18-Jun,Verizon Market BuyJun 18,$111.302 shares at $55.65,111.30,$55.65 ,2021,Buy,Verizon ,111.3,0,0,111.3,
805,18-Jun,QuantumScape Market BuyJun 18,$106.594 shares at $26.65,106.50,$26.65 ,2021,Buy,QuantumScape ,106.5,0,0,106.5,
806,18-Jun,Linde Market BuyJun 18,$56.820.2 shares at $284.10,56.80,$284.10 ,2021,Buy,Linde ,56.8,0,0,56.8,
807,18-Jun,Tapestry Market BuyJun 18,$41.181 share at $41.18,41.10,$41.18 ,2021,Buy,Tapestry ,41.1,0,0,41.1,
808,18-Jun,Ralph Lauren Market BuyJun 18,$113.881 share at $113.88,113.80,$113.88 ,2021,Buy,Ralph Lauren ,113.8,0,0,113.8,
809,18-Jun,Roblox Market BuyJun 18,$80.971 share at $80.97,80.90,$80.97 ,2021,Buy,Roblox ,80.9,0,0,80.9,
810,18-Jun,Cummins Market BuyJun 18,$116.140.5 shares at $232.28,116.10,$232.28 ,2021,Buy,Cummins ,116.1,0,0,116.1,
811,18-Jun,Siemens Market BuyJun 18,$79.791 share at $79.79,79.70,$79.79 ,2021,Buy,Siemens ,79.7,0,0,79.7,
812,18-Jun,Procter & Gamble Market BuyJun 18,$132.711 share at $132.71,132.70,$132.71 ,2021,Buy,Procter & Gamble ,132.7,0,0,132.7,
813,18-Jun,iShares Global Clean Energy ETF Market BuyJun 18,$112.805 shares at $22.56,112.80,$22.56 ,2021,Buy,iShares Global Clean Energy ETF ,112.8,0,0,112.8,
814,18-Jun,Nexa Resources Market BuyJun 18,$84.0310 shares at $8.40,84.00,$8.40 ,2021,Buy,Nexa Resources ,84,0,0,84,
815,18-Jun,Best Buy Market BuyJun 18,$108.181 share at $108.18,108.10,$108.18 ,2021,Buy,Best ,108.1,0,0,108.1,
816,18-Jun,Linde Market BuyJun 18,$28.440.1 shares at $284.40,28.40,$284.40 ,2021,Buy,Linde ,28.4,0,0,28.4,
817,17-Jun,U.S. Xpress Limit BuyJun 17,$90.6110 shares at $9.06,90.60,$9.06 ,2021,Buy,U.S. Xpress ,90.6,0,0,90.6,
818,17-Jun,Cummins Market BuyJun 17,$117.560.5 shares at $235.12,117.50,$235.12 ,2021,Buy,Cummins ,117.5,0,0,117.5,
819,17-Jun,Cummins Limit BuyJun 17,$235.001 share at $235.00,235.00,$235.00 ,2021,Buy,Cummins ,235,0,0,235,
821,17-Jun,U.S. Xpress Limit BuyJun 17,$141.4515 shares at $9.43,141.40,$9.43 ,2021,Buy,U.S. Xpress ,141.4,0,0,141.4,
822,17-Jun,Nexa Resources Limit BuyJun 17,$58.807 shares at $8.40,58.80,$8.40 ,2021,Buy,Nexa Resources ,58.8,0,0,58.8,
824,16-Jun,U.S. Xpress Limit BuyJun 16,$81.088 shares at $10.14,81.00,$10.14 ,2021,Buy,U.S. Xpress ,81,0,0,81,
825,16-Jun,Nexa Resources Limit BuyJun 16,$45.555 shares at $9.11,45.50,$9.11 ,2021,Buy,Nexa Resources ,45.5,0,0,45.5,
826,15-Jun,Nexa Resources Limit BuyJun 15,$99.4510 shares at $9.95,99.40,$9.95 ,2021,Buy,Nexa Resources ,99.4,0,0,99.4,
830,8-Jun,Big Lots Trailing Stop SellJun 8,$70.231 share at $70.23,70.20,$70.23 ,2021,Sell,Big Lots Trailing Stop ,70.2,-70.2,0,0,
831,8-Jun,Eversource Market BuyJun 8,$40.390.5 shares at $80.78,40.30,$80.78 ,2021,Buy,Eversource ,40.3,0,0,40.3,
832,8-Jun,American Electric Power Market BuyJun 8,$41.110.5 shares at $82.22,41.10,$82.22 ,2021,Buy,American Electric Power ,41.1,0,0,41.1,
833,8-Jun,Shift Technologies Stop Loss SellJun 8,$82.0010 shares at $8.20,82.00,$8.20 ,2021,Sell,Shift Technologies Stop Loss ,82,-82,0,0,
835,8-Jun,Velodyne Lidar Stop Loss SellJun 8,$287.2525 shares at $11.49,287.20,$11.49 ,2021,Sell,Velodyne Lidar Stop Loss ,287.2,-287.2,0,0,
836,8-Jun,Coinbase Market BuyJun 8,$56.450.25 shares at $225.80,56.40,$225.80 ,2021,Buy,Coinbase ,56.4,0,0,56.4,
838,7-Jun,Merck Market BuyJun 7,$72.881 share at $72.88,72.80,$72.88 ,2021,Buy,Merck ,72.8,0,0,72.8,
839,7-Jun,Air Products & Chemicals Market BuyJun 7,$29.970.1 shares at $299.70,29.90,$299.70 ,2021,Buy,Air Products & Chemicals ,29.9,0,0,29.9,
840,7-Jun,Linde Market BuyJun 7,$29.130.1 shares at $291.30,29.10,$291.30 ,2021,Buy,Linde ,29.1,0,0,29.1,
841,7-Jun,Hyliion Stop Loss SellJun 7,$293.7525 shares at $11.75,293.70,$11.75 ,2021,Sell,Hyliion Stop Loss ,293.7,-293.7,0,0,
842,7-Jun,Merck Market BuyJun 7,$73.141 share at $73.14,73.10,$73.14 ,2021,Buy,Merck ,73.1,0,0,73.1,
843,3-Jun,Toyota Stop Loss SellJun 3,$176.791 share at $176.79,176.70,$176.79 ,2021,Sell,Toyota Stop Loss ,176.7,-176.7,0,0,
846,3-Jun,Sunrun Market BuyJun 3,$41.271 share at $41.27,41.20,$41.27 ,2021,Buy,Sunrun ,41.2,0,0,41.2,
848,3-Jun,Sunrun Market BuyJun 3,$41.481 share at $41.48,41.40,$41.48 ,2021,Buy,Sunrun ,41.4,0,0,41.4,
849,3-Jun,Tesla Limit BuyJun 3,$572.411 share at $572.41,572.40,$572.41 ,2021,Buy,Tesla ,572.4,0,0,572.4,
850,3-Jun,Tesla Market BuyJun 3,$57.670.1 shares at $576.70,57.60,$576.70 ,2021,Buy,Tesla ,57.6,0,0,57.6,
851,3-Jun,ARK Innovation ETF Market BuyJun 3,$53.980.5 shares at $107.96,53.90,$107.96 ,2021,Buy,ARK Innovation ETF ,53.9,0,0,53.9,
852,3-Jun,Kimberly-Clark Limit BuyJun 3,$128.891 share at $128.89,128.80,$128.89 ,2021,Buy,Kimberly-Clark ,128.8,0,0,128.8,
853,3-Jun,Canadian Solar Market BuyJun 3,$38.571 share at $38.57,38.50,$38.57 ,2021,Buy,Canadian Solar ,38.5,0,0,38.5,
854,3-Jun,Cisco Systems Market SellJun 3,$53.231 share at $53.23,53.20,$53.23 ,2021,Sell,Cisco Systems ,53.2,-53.2,0,0,
855,3-Jun,Velodyne Lidar Limit BuyJun 3,$195.0020 shares at $9.75,195.00,$9.75 ,2021,Buy,Velodyne Lidar ,195,0,0,195,
856,3-Jun,Fox (Class B) Market BuyJun 3,$104.753 shares at $34.92,104.70,$34.92 ,2021,Buy,Fox (Class B) ,104.7,0,0,104.7,
857,3-Jun,Best Buy Market BuyJun 3,$115.511 share at $115.51,115.50,$115.51 ,2021,Buy,Best ,115.5,0,0,115.5,
858,3-Jun,Etsy Market BuyJun 3,$42.200.25 shares at $168.80,42.20,$168.80 ,2021,Buy,Etsy ,42.2,0,0,42.2,
861,3-Jun,Desktop Metal Limit BuyJun 3,$68.755 shares at $13.75,68.70,$13.75 ,2021,Buy,Desktop Metal ,68.7,0,0,68.7,
863,3-Jun,Ballard Power Systems Limit BuyJun 3,$168.0010 shares at $16.80,168.00,$16.80 ,2021,Buy,Ballard Power Systems ,168,0,0,168,
864,2-Jun,Gores Holdings VI Stop Loss SellJun 2,$363.7426 shares at $13.99,363.70,$13.99 ,2021,Sell,Gores Holdings VI Stop Loss ,363.7,-363.7,0,0,
865,2-Jun,Poshmark Stop Loss SellJun 2,$142.203 shares at $47.40,142.20,$47.40 ,2021,Sell,Poshmark Stop Loss ,142.2,-142.2,0,0,
866,2-Jun,Desktop Metal Limit BuyJun 2,$65.005 shares at $13.00,65.00,$13.00 ,2021,Buy,Desktop Metal ,65,0,0,65,
867,2-Jun,Desktop Metal Stop Loss SellJun 2,$71.255 shares at $14.25,71.20,$14.25 ,2021,Sell,Desktop Metal Stop Loss ,71.2,-71.2,0,0,
869,2-Jun,Honda Stop Loss SellJun 2,$31.001 share at $31.00,31.00,$31.00 ,2021,Sell,Honda Stop Loss ,31,-31,0,0,
870,2-Jun,Sony Stop Loss SellJun 2,$96.581 share at $96.58,96.50,$96.58 ,2021,Sell,Sony Stop Loss ,96.5,-96.5,0,0,
871,2-Jun,Roblox Stop Loss SellJun 2,$98.001 share at $98.00,98.00,$98.00 ,2021,Sell,Roblox Stop Loss ,98,-98,0,0,
872,2-Jun,Tesla Market BuyJun 2,$60.130.1 shares at $601.30,60.10,$601.30 ,2021,Buy,Tesla ,60.1,0,0,60.1,
876,2-Jun,Amazon Market SellJun 2,"$32.340.01 shares at $3,234.00",32.30,"$3,234.00 ",2021,Sell,Amazon ,32.3,-32.3,0,0,
878,2-Jun,Airbnb Stop Loss SellJun 2,$295.702 shares at $147.85,295.70,$147.85 ,2021,Sell,Airbnb Stop Loss ,295.7,-295.7,0,0,
883,2-Jun,Tapestry Limit BuyJun 2,$129.003 shares at $43.00,129.00,$43.00 ,2021,Buy,Tapestry ,129,0,0,129,
884,2-Jun,U.S. Xpress Limit BuyJun 2,$199.0717 shares at $11.71,199.00,$11.71 ,2021,Buy,U.S. Xpress ,199,0,0,199,
885,2-Jun,Ralph Lauren Limit BuyJun 2,$120.001 share at $120.00,120.00,$120.00 ,2021,Buy,Ralph Lauren ,120,0,0,120,
888,2-Jun,Etsy Stop Loss SellJun 2,$166.011 share at $166.01,166.00,$166.01 ,2021,Sell,Etsy Stop Loss ,166,-166,0,0,
889,2-Jun,Nexa Resources Limit BuyJun 2,$198.0018 shares at $11.00,198.00,$11.00 ,2021,Buy,Nexa Resources ,198,0,0,198,
892,2-Jun,Ralph Lauren Stop Loss SellJun 2,$122.961 share at $122.96,122.90,$122.96 ,2021,Sell,Ralph Lauren Stop Loss ,122.9,-122.9,0,0,
893,2-Jun,AMD Stop Loss SellJun 2,$80.001 share at $80.00,80.00,$80.00 ,2021,Sell,AMD Stop Loss ,80,-80,0,0,
894,2-Jun,Taiwan Semiconductor Manufacturing Stop Loss SellJun 2,$231.882 shares at $115.94,231.80,$115.94 ,2021,Sell,Taiwan Semiconductor Manufacturing Stop Loss ,231.8,-231.8,0,0,
895,2-Jun,Tanger Factory Outlet Centers Stop Loss SellJun 2,$182.5010 shares at $18.25,182.50,$18.25 ,2021,Sell,Tanger Factory Outlet Centers Stop Loss ,182.5,-182.5,0,0,
898,2-Jun,Qualcomm Limit SellJun 2,$133.261 share at $133.26,133.20,$133.26 ,2021,Sell,Qualcomm ,133.2,-133.2,0,0,
899,2-Jun,Porsche Stop Loss SellJun 2,$11.291 share at $11.29,11.20,$11.29 ,2021,Sell,Porsche Stop Loss ,11.2,-11.2,0,0,
900,1-Jun,NextEra Energy Market BuyJun 1,$68.811 share at $68.81,68.80,$68.81 ,2021,Buy,NextEra Energy ,68.8,0,0,68.8,
901,1-Jun,NVIDIA Market SellJun 1,$130.840.2 shares at $654.20,130.80,$654.20 ,2021,Sell,NVIDIA ,130.8,-130.8,0,0,
902,1-Jun,Velodyne Lidar Limit BuyJun 1,$76.808 shares at $9.60,76.80,$9.60 ,2021,Buy,Velodyne Lidar ,76.8,0,0,76.8,
903,1-Jun,Medallia Limit BuyJun 1,$101.004 shares at $25.25,101.00,$25.25 ,2021,Buy,Medallia ,101,0,0,101,
906,1-Jun,Ballard Power Systems Stop Loss SellJun 1,$544.0032 shares at $17.00,544.00,$17.00 ,2021,Sell,Ballard Power Systems Stop Loss ,544,-544,0,0,
911,1-Jun,GoodRx Stop Loss SellJun 1,$35.001 share at $35.00,35.00,$35.00 ,2021,Sell,GoodRx Stop Loss ,35,-35,0,0,
913,28-May,Clean Energy Fuels Limit BuyMay 28,$78.0010 shares at $7.80,78.00,$7.80 ,2021,Buy,Clean Energy Fuels ,78,0,0,78,
914,28-May,Big Lots Market BuyMay 28,$121.162 shares at $60.58,121.10,$60.58 ,2021,Buy,Big Lots ,121.1,0,0,121.1,
916,27-May,Pubmatic Stop Loss SellMay 27,$93.003 shares at $31.00,93.00,$31.00 ,2021,Sell,Pubmatic Stop Loss ,93,-93,0,0,
919,27-May,RE/MAX Market BuyMay 27,$35.151 share at $35.15,35.10,$35.15 ,2021,Buy,RE/MAX ,35.1,0,0,35.1,
920,27-May,Dollar Tree Market BuyMay 27,$100.321 share at $100.32,100.30,$100.32 ,2021,Buy,Dollar Tree ,100.3,0,0,100.3,
921,27-May,PowerShares QQQ Limit SellMay 27,$667.762 shares at $333.88,667.70,$333.88 ,2021,Sell,PowerShares QQQ ,667.7,-667.7,0,0,
922,27-May,Deposit from Checking (non-interest)May 27,"$5,000.00 ",,,2021,Deposit,N/A,,0,0,0,
923,26-May,Kimberly-Clark Market BuyMay 26,$131.031 share at $131.03,131.00,$131.03 ,2021,Buy,Kimberly-Clark ,131,0,0,131,
924,26-May,PowerShares QQQ Market BuyMay 26,$667.202 shares at $333.60,667.20,$333.60 ,2021,Buy,PowerShares QQQ ,667.2,0,0,667.2,
925,25-May,Honda Market BuyMay 25,$30.371 share at $30.37,30.30,$30.37 ,2021,Buy,Honda ,30.3,0,0,30.3,
926,25-May,Porsche Market BuyMay 25,$10.611 share at $10.61,10.60,$10.61 ,2021,Buy,Porsche ,10.6,0,0,10.6,
927,25-May,ARK Innovation ETF Market BuyMay 25,$54.730.5 shares at $109.46,54.70,$109.46 ,2021,Buy,ARK Innovation ETF ,54.7,0,0,54.7,
928,25-May,iShares Russell 2000 ETF Market BuyMay 25,$22.190.1 shares at $221.90,22.10,$221.90 ,2021,Buy,iShares Russell 2000 ETF ,22.1,0,0,22.1,
929,25-May,PowerShares QQQ Market BuyMay 25,$33.270.1 shares at $332.70,33.20,$332.70 ,2021,Buy,PowerShares QQQ ,33.2,0,0,33.2,
930,25-May,SPDR Dow Jones Industrial Average ETF Market BuyMay 25,$34.400.1 shares at $344.00,34.40,$344.00 ,2021,Buy,SPDR Dow Jones Industrial Average ETF ,34.4,0,0,34.4,
931,25-May,SPDR S&P 500 ETF Market BuyMay 25,$41.900.1 shares at $419.00,41.90,$419.00 ,2021,Buy,SPDR S&P 500 ETF ,41.9,0,0,41.9,
932,24-May,Ralph Lauren Limit BuyMay 24,$119.501 share at $119.50,119.50,$119.50 ,2021,Buy,Ralph Lauren ,119.5,0,0,119.5,
933,24-May,QuantumScape Limit BuyMay 24,$25.001 share at $25.00,25.00,$25.00 ,2021,Buy,QuantumScape ,25,0,0,25,
934,24-May,Clean Energy Fuels Limit BuyMay 24,$61.488 shares at $7.69,61.40,$7.69 ,2021,Buy,Clean Energy Fuels ,61.4,0,0,61.4,
935,24-May,Shift Technologies Limit BuyMay 24,$59.409 shares at $6.60,59.40,$6.60 ,2021,Buy,Shift Technologies ,59.4,0,0,59.4,
936,24-May,Shift Technologies Market BuyMay 24,$6.591 share at $6.59,6.50,$6.59 ,2021,Buy,Shift Technologies ,6.5,0,0,6.5,
938,19-May,Cisco Systems Market BuyMay 19,$49.221 share at $49.22,49.20,$49.22 ,2021,Buy,Cisco Systems ,49.2,0,0,49.2,
939,19-May,Coinbase Market BuyMay 19,$53.880.25 shares at $215.52,53.80,$215.52 ,2021,Buy,Coinbase ,53.8,0,0,53.8,
941,19-May,Tesla Market BuyMay 19,$54.770.1 shares at $547.70,54.70,$547.70 ,2021,Buy,Tesla ,54.7,0,0,54.7,
942,18-May,Coinbase Market BuyMay 18,$239.391 share at $239.39,239.30,$239.39 ,2021,Buy,Coinbase ,239.3,0,0,239.3,
944,17-May,Pubmatic Market BuyMay 17,$91.153 shares at $30.38,91.10,$30.38 ,2021,Buy,Pubmatic ,91.1,0,0,91.1,
945,17-May,Poshmark Limit BuyMay 17,$34.121 share at $34.12,34.10,$34.12 ,2021,Buy,Poshmark ,34.1,0,0,34.1,
946,17-May,Poshmark Market BuyMay 17,$34.411 share at $34.41,34.40,$34.41 ,2021,Buy,Poshmark ,34.4,0,0,34.4,
947,17-May,Skyworks Market BuyMay 17,$121.320.75 shares at $161.76,121.30,$161.76 ,2021,Buy,Skyworks ,121.3,0,0,121.3,
948,17-May,Tesla Market BuyMay 17,$57.910.1 shares at $579.10,57.90,$579.10 ,2021,Buy,Tesla ,57.9,0,0,57.9,
949,17-May,Coinbase Market BuyMay 17,$59.780.25 shares at $239.12,59.70,$239.12 ,2021,Buy,Coinbase ,59.7,0,0,59.7,
950,17-May,Taiwan Semiconductor Manufacturing Market BuyMay 17,$81.370.75 shares at $108.49,81.30,$108.49 ,2021,Buy,Taiwan Semiconductor Manufacturing ,81.3,0,0,81.3,
951,17-May,Airbnb Market BuyMay 17,$133.211 share at $133.21,133.20,$133.21 ,2021,Buy,Airbnb ,133.2,0,0,133.2,
952,14-May,NIO Market BuyMay 14,$33.391 share at $33.39,33.30,$33.39 ,2021,Buy,NIO ,33.3,0,0,33.3,
953,14-May,Poshmark Market BuyMay 14,$35.941 share at $35.94,35.90,$35.94 ,2021,Buy,Poshmark ,35.9,0,0,35.9,
954,14-May,Tanger Factory Outlet Centers Market BuyMay 14,$163.4610 shares at $16.35,163.40,$16.35 ,2021,Buy,Tanger Factory Outlet Centers ,163.4,0,0,163.4,
955,13-May,Gores Holdings VI Market BuyMay 13,$21.092 shares at $10.55,21.00,$10.55 ,2021,Buy,Gores Holdings VI ,21,0,0,21,
956,13-May,Velodyne Lidar Market BuyMay 13,$18.982 shares at $9.49,18.90,$9.49 ,2021,Buy,Velodyne Lidar ,18.9,0,0,18.9,
957,13-May,Ballard Power Systems Market BuyMay 13,$27.602 shares at $13.80,27.60,$13.80 ,2021,Buy,Ballard Power Systems ,27.6,0,0,27.6,
958,13-May,NVIDIA Market BuyMay 13,$54.280.1 shares at $542.80,54.20,$542.80 ,2021,Buy,NVIDIA ,54.2,0,0,54.2,
959,13-May,Enphase Energy Market BuyMay 13,$57.030.5 shares at $114.06,57.00,$114.06 ,2021,Buy,Enphase Energy ,57,0,0,57,
960,13-May,Etsy Market BuyMay 13,$39.160.25 shares at $156.64,39.10,$156.64 ,2021,Buy,Etsy ,39.1,0,0,39.1,
961,13-May,Airbnb Market BuyMay 13,$67.130.5 shares at $134.26,67.10,$134.26 ,2021,Buy,Airbnb ,67.1,0,0,67.1,
962,13-May,Velodyne Lidar Market BuyMay 13,$28.673 shares at $9.56,28.60,$9.56 ,2021,Buy,Velodyne Lidar ,28.6,0,0,28.6,
963,13-May,Tesla Market BuyMay 13,$57.170.1 shares at $571.70,57.10,$571.70 ,2021,Buy,Tesla ,57.1,0,0,57.1,
964,12-May,Tesla Market BuyMay 12,$58.700.1 shares at $587.00,58.70,$587.00 ,2021,Buy,Tesla ,58.7,0,0,58.7,
965,12-May,Qualcomm Market BuyMay 12,$31.020.25 shares at $124.08,31.00,$124.08 ,2021,Buy,Qualcomm ,31,0,0,31,
966,12-May,Amazon Market BuyMay 12,"$31.430.01 shares at $3,143.00",31.40,"$3,143.00 ",2021,Buy,Amazon ,31.4,0,0,31.4,
967,12-May,Autodesk Market BuyMay 12,$53.870.2 shares at $269.35,53.80,$269.35 ,2021,Buy,Autodesk ,53.8,0,0,53.8,
968,12-May,NVIDIA Market BuyMay 12,$55.000.1 shares at $550.00,55.00,$550.00 ,2021,Buy,NVIDIA ,55,0,0,55,
969,12-May,Ballard Power Systems Market BuyMay 12,$43.083 shares at $14.36,43.00,$14.36 ,2021,Buy,Ballard Power Systems ,43,0,0,43,
970,12-May,Bloom Energy Market BuyMay 12,$96.945 shares at $19.39,96.90,$19.39 ,2021,Buy,Bloom Energy ,96.9,0,0,96.9,
971,12-May,Sony Market BuyMay 12,$93.411 share at $93.41,93.40,$93.41 ,2021,Buy,Sony ,93.4,0,0,93.4,
972,12-May,Hyliion Market BuyMay 12,$82.5910 shares at $8.26,82.50,$8.26 ,2021,Buy,Hyliion ,82.5,0,0,82.5,
973,12-May,Gores Holdings VI Market BuyMay 12,$98.609 shares at $10.96,98.60,$10.96 ,2021,Buy,Gores Holdings VI ,98.6,0,0,98.6,
974,12-May,NextEra Energy Market BuyMay 12,$144.942 shares at $72.47,144.90,$72.47 ,2021,Buy,NextEra Energy ,144.9,0,0,144.9,
975,12-May,Microsoft Market BuyMay 12,$239.551 share at $239.55,239.50,$239.55 ,2021,Buy,Microsoft ,239.5,0,0,239.5,
976,12-May,Apple Market BuyMay 12,$122.401 share at $122.40,122.40,$122.40 ,2021,Buy,Apple ,122.4,0,0,122.4,
977,12-May,Taiwan Semiconductor Manufacturing Market BuyMay 12,$27.180.25 shares at $108.72,27.10,$108.72 ,2021,Buy,Taiwan Semiconductor Manufacturing ,27.1,0,0,27.1,
978,12-May,Skyworks Market BuyMay 12,$40.340.25 shares at $161.36,40.30,$161.36 ,2021,Buy,Skyworks ,40.3,0,0,40.3,
979,12-May,Skyworks Market BuyMay 12,$40.330.25 shares at $161.32,40.30,$161.32 ,2021,Buy,Skyworks ,40.3,0,0,40.3,
980,12-May,Tesla Market BuyMay 12,$120.270.2 shares at $601.35,120.20,$601.35 ,2021,Buy,Tesla ,120.2,0,0,120.2,
981,12-May,Velodyne Lidar Market BuyMay 12,$53.595 shares at $10.72,53.50,$10.72 ,2021,Buy,Velodyne Lidar ,53.5,0,0,53.5,
982,12-May,AMD Market BuyMay 12,$74.741 share at $74.74,74.70,$74.74 ,2021,Buy,AMD ,74.7,0,0,74.7,
983,12-May,Bloom Energy Market BuyMay 12,$98.225 shares at $19.64,98.20,$19.64 ,2021,Buy,Bloom Energy ,98.2,0,0,98.2,
984,12-May,Intel Market BuyMay 12,$54.181 share at $54.18,54.10,$54.18 ,2021,Buy,Intel ,54.1,0,0,54.1,
985,12-May,NextEra Energy Market BuyMay 12,$72.871 share at $72.87,72.80,$72.87 ,2021,Buy,NextEra Energy ,72.8,0,0,72.8,
986,12-May,Intel Market BuyMay 12,$54.151 share at $54.15,54.10,$54.15 ,2021,Buy,Intel ,54.1,0,0,54.1,
987,12-May,Bloom Energy Market BuyMay 12,$100.195 shares at $20.04,100.10,$20.04 ,2021,Buy,Bloom Energy ,100.1,0,0,100.1,
988,12-May,QuantumScape Market BuyMay 12,$27.911 share at $27.91,27.90,$27.91 ,2021,Buy,QuantumScape ,27.9,0,0,27.9,
989,12-May,Taiwan Semiconductor Manufacturing Market BuyMay 12,$55.000.5 shares at $110.00,55.00,$110.00 ,2021,Buy,Taiwan Semiconductor Manufacturing ,55,0,0,55,
990,12-May,Qualcomm Market BuyMay 12,$62.750.5 shares at $125.50,62.70,$125.50 ,2021,Buy,Qualcomm ,62.7,0,0,62.7,
991,11-May,Toyota Market BuyMay 11,$151.611 share at $151.61,151.60,$151.61 ,2021,Buy,Toyota ,151.6,0,0,151.6,
992,11-May,Enphase Energy Market BuyMay 11,$11.790.1 shares at $117.90,11.70,$117.90 ,2021,Buy,Enphase Energy ,11.7,0,0,11.7,
